date,value
2014-03-07,0.03993
2014-03-14,0.03898
2014-03-21,0.03898
2014-03-28,0.04153
2014-04-04,0.04971
2014-04-11,0.05144
2014-04-18,0.05733
2014-04-25,0.05387
2014-05-02,0.05692
2014-05-09,0.06056
2014-05-16,0.05483
2014-05-23,0.05387
2014-05-30,0.05863
2014-06-06,0.05637
2014-06-13,0.05715
2014-06-20,0.06165
2014-06-27,0.05937
2014-07-04,0.06306
2014-07-11,0.05638
2014-07-18,0.05591
2014-07-25,0.05742
2014-08-01,0.02636
2014-08-08,0.05406
2014-08-15,0.05929
2014-08-22,0.06124
2014-08-29,0.06324
2014-09-05,0.06025
2014-09-12,0.05973
2014-09-19,0.06220
2014-09-26,0.06209
2014-10-03,0.06543
2014-10-10,0.03292
2014-10-17,0.06514
2014-10-24,0.06280
2014-10-31,0.06405
2014-11-07,0.06293
2014-11-14,0.06721
2014-11-21,0.06412
2014-11-28,0.06509
2014-12-05,0.06229
2014-12-12,0.06056
2014-12-19,0.06172
2014-12-26,0.06063
2015-01-02,0.05653
2015-01-09,0.04781
2015-01-16,0.05636
2015-01-23,0.05734
2015-01-30,0.06364
2015-02-06,0.05628
2015-02-13,0.05084
2015-02-20,0.04722
2015-02-27,0.05236
2015-03-06,0.05349
2015-03-13,0.05563
2015-03-20,0.05574
2015-03-27,0.05422
2015-04-03,0.05759
2015-04-10,0.05692
2015-04-17,0.06572
2015-04-24,0.05751
2015-05-01,0.06502
2015-05-08,0.06886
2015-05-15,0.07030
2015-05-22,0.06727
2015-05-29,0.07360
2015-06-05,0.07207
2015-06-12,0.07145
2015-06-19,0.06921
2015-06-26,0.07092
2015-07-03,0.07521
2015-07-10,0.06835
2015-07-17,0.05782
2015-07-24,0.05611
2015-07-31,0.07630
2015-08-07,0.07305
2015-08-14,0.07305
2015-08-21,0.07377
2015-08-28,0.07415
2015-09-04,0.07662
2015-09-11,0.07287
2015-09-18,0.07880
2015-09-25,0.04378
2015-10-02,0.06747
2015-10-09,0.07697
2015-10-16,0.08110
2015-10-23,0.07571
2015-10-30,0.07646
2015-11-06,0.08048
2015-11-13,0.08169
2015-11-20,0.08187
2015-11-27,0.07486
2015-12-04,0.07726
2015-12-11,0.07343
2015-12-18,0.07620
2015-12-25,0.07319
2016-01-01,0.07660
2016-01-08,0.06267
2016-01-15,0.06434
2016-01-22,0.06484
2016-01-29,0.06255
2016-02-05,0.06935
2016-02-12,0.06530
2016-02-19,0.06920
2016-02-26,0.07107
2016-03-04,0.08005
2016-03-11,0.07338
2016-03-18,0.07440
2016-03-25,0.07023
2016-04-01,0.07995
2016-04-08,0.07848
2016-04-15,0.07904
2016-04-22,0.08884
2016-04-29,0.08635
2016-05-06,0.08537
2016-05-13,0.08582
2016-05-20,0.08620
2016-05-27,0.08771
2016-06-03,0.09250
2016-06-10,0.08549
2016-06-17,0.08999
2016-06-24,0.09888
2016-07-01,0.10495
2016-07-08,0.03196
2016-07-15,0.08842
2016-07-22,0.08472
2016-07-29,0.09239
2016-08-05,0.09329
2016-08-12,0.11040
2016-08-19,0.09335
2016-08-26,0.09232
2016-09-02,0.09727
2016-09-09,0.09441
2016-09-16,0.02769
2016-09-23,0.09162
2016-09-30,0.10617
2016-10-07,0.10190
2016-10-14,0.09915
2016-10-21,0.10270
2016-10-28,0.10208
2016-11-04,0.10525
2016-11-11,0.10017
2016-11-18,0.10114
2016-11-25,0.10071
2016-12-02,0.10277
2016-12-09,0.09610
2016-12-16,0.09472
2016-12-23,0.09494
2016-12-30,0.09959
2017-01-06,0.07405
2017-01-13,0.07111
2017-01-20,0.07856
2017-01-27,0.07878
2017-02-03,0.07936
2017-02-10,0.08104
2017-02-17,0.07929
2017-02-24,0.08165
2017-03-03,0.10151
2017-03-10,0.09677
2017-03-17,0.09258
2017-03-24,0.09684
2017-03-31,0.10446
2017-04-07,0.09325
2017-04-14,0.09695
2017-04-21,0.10290
2017-04-28,0.10807
2017-05-05,0.10304
2017-05-12,0.10154
2017-05-19,0.10318
2017-05-26,0.10873
2017-06-02,0.10815
2017-06-09,0.10349
