date,value
2014-03-07,0.38449
2014-03-14,0.35188
2014-03-21,0.39656
2014-03-28,0.40615
2014-04-04,0.41369
2014-04-11,0.36372
2014-04-18,0.39450
2014-04-25,0.35554
2014-05-02,0.46859
2014-05-09,0.38185
2014-05-16,0.41226
2014-05-23,0.36342
2014-05-30,0.47989
2014-06-06,0.41600
2014-06-13,0.37822
2014-06-20,0.40860
2014-06-27,0.40209
2014-07-04,0.48879
2014-07-11,0.37438
2014-07-18,0.40248
2014-07-25,0.43895
2014-08-01,0.32345
2014-08-08,0.37698
2014-08-15,0.37113
2014-08-22,0.37723
2014-08-29,0.45688
2014-09-05,0.39920
2014-09-12,0.36031
2014-09-19,0.40364
2014-09-26,0.40066
2014-10-03,0.52798
2014-10-10,0.28346
2014-10-17,0.40655
2014-10-24,0.38962
2014-10-31,0.45510
2014-11-07,0.40681
2014-11-14,0.39083
2014-11-21,0.43925
2014-11-28,0.49705
2014-12-05,0.46335
2014-12-12,0.40917
2014-12-19,0.45980
2014-12-26,0.49370
2015-01-02,0.55569
2015-01-09,0.41462
2015-01-16,0.46580
2015-01-23,0.44173
2015-01-30,0.50196
2015-02-06,0.42597
2015-02-13,0.41924
2015-02-20,0.44098
2015-02-27,0.51594
2015-03-06,0.46890
2015-03-13,0.40195
2015-03-20,0.42709
2015-03-27,0.42143
2015-04-03,0.46382
2015-04-10,0.36889
2015-04-17,0.40085
2015-04-24,0.35388
2015-05-01,0.47749
2015-05-08,0.42096
2015-05-15,0.41096
2015-05-22,0.37088
2015-05-29,0.48052
2015-06-05,0.44099
2015-06-12,0.38637
2015-06-19,0.40367
2015-06-26,0.39958
2015-07-03,0.52428
2015-07-10,0.40440
2015-07-17,0.36466
2015-07-24,0.35912
2015-07-31,0.49006
2015-08-07,0.41891
2015-08-14,0.38881
2015-08-21,0.39859
2015-08-28,0.43190
2015-09-04,0.47981
2015-09-11,0.40057
2015-09-18,0.44813
2015-09-25,0.27912
2015-10-02,0.54517
2015-10-09,0.42400
2015-10-16,0.42759
2015-10-23,0.41270
2015-10-30,0.44471
2015-11-06,0.48514
2015-11-13,0.43941
2015-11-20,0.45585
2015-11-27,0.48466
2015-12-04,0.58589
2015-12-11,0.50097
2015-12-18,0.52229
2015-12-25,0.54767
2016-01-01,0.71344
2016-01-08,0.52266
2016-01-15,0.51053
2016-01-22,0.47557
2016-01-29,0.53116
2016-02-05,0.52352
2016-02-12,0.46809
2016-02-19,0.48034
2016-02-26,0.51146
2016-03-04,0.62555
2016-03-11,0.53682
2016-03-18,0.56114
2016-03-25,0.55132
2016-04-01,0.67536
2016-04-08,0.56698
2016-04-15,0.55425
2016-04-22,0.55182
2016-04-29,0.66260
2016-05-06,0.63790
2016-05-13,0.57525
2016-05-20,0.53005
2016-05-27,0.60966
2016-06-03,0.70590
2016-06-10,0.56111
2016-06-17,0.57127
2016-06-24,0.55277
2016-07-01,0.84317
2016-07-08,0.25639
2016-07-15,0.58988
2016-07-22,0.50458
2016-07-29,0.62393
2016-08-05,0.58560
2016-08-12,0.50664
2016-08-19,0.53701
2016-08-26,0.54055
2016-09-02,0.62790
2016-09-09,0.67246
2016-09-16,0.20630
2016-09-23,0.56293
2016-09-30,0.65395
2016-10-07,0.57958
2016-10-14,0.56761
2016-10-21,0.55650
2016-10-28,0.56063
2016-11-04,0.65293
2016-11-11,0.57057
2016-11-18,0.58583
2016-11-25,0.59261
2016-12-02,0.72472
2016-12-09,0.61967
2016-12-16,0.63479
2016-12-23,0.63041
2016-12-30,0.85483
2017-01-06,0.63882
2017-01-13,0.53698
2017-01-20,0.56331
2017-01-27,0.56164
2017-02-03,0.62819
2017-02-10,0.55253
2017-02-17,0.55085
2017-02-24,0.54652
2017-03-03,0.72048
2017-03-10,0.60015
2017-03-17,0.62876
2017-03-24,0.56098
2017-03-31,0.61119
2017-04-07,0.64509
2017-04-14,0.57992
2017-04-21,0.58111
2017-04-28,0.63729
2017-05-05,0.58620
2017-05-12,0.57106
2017-05-19,0.51690
2017-05-26,0.57908
2017-06-02,0.64807
2017-06-09,0.55716
2017-06-16,0.57164
2017-06-23,0.60614
2017-06-30,0.50315
2017-07-07,0.55998
2017-07-14,0.54697
2017-07-21,0.50160
2017-07-28,0.52717
2017-08-04,0.62728
2017-08-11,0.54246
2017-08-18,0.57149
2017-08-25,0.59749
2017-09-01,0.48449
2017-09-08,0.47871
2017-09-15,0.52411
2017-09-22,0.53626
2017-09-29,0.62235
2017-10-06,0.59432
2017-10-13,0.55658
2017-10-20,0.54963
2017-10-27,0.55505
2017-11-03,0.64985
2017-11-10,0.55723
2017-11-17,0.58727
2017-11-24,0.58190
2017-12-01,0.71294
2017-12-08,0.61540
2017-12-15,0.62242
2017-12-22,0.63054
2017-12-29,0.88194
2018-01-05,0.61121
2018-01-12,0.54988
2018-01-19,0.54877
2018-01-26,0.53798
2018-02-02,0.64186
2018-02-09,0.55073
2018-02-16,0.55581
2018-02-23,0.56385
2018-03-02,0.73556
2018-03-09,0.58557
2018-03-16,0.64374
2018-03-23,0.59977
2018-03-30,0.70320
