date,value
2011-07-01,13021706.70408
2011-10-01,14885844.54326
2012-01-01,11756520.11434
2012-04-01,14326727.10837
2012-07-01,14049687.40004
2012-10-01,16433292.58445
2013-01-01,13322525.97690
2013-04-01,15907444.90715
2013-07-01,15723457.32227
2013-10-01,18438002.53623
2014-01-01,15157559.09556
2014-04-01,17379314.10963
2014-07-01,16944164.38554
2014-10-01,20156672.93645
2015-01-01,17218307.78345
2015-04-01,19246532.09108
2015-07-01,19960107.22056
2015-10-01,24375117.64882
2016-01-01,18443888.44273
2016-04-01,21815445.52131
2016-07-01,20214082.22046
2016-10-01,25331615.96909
2017-01-01,20011940.77105
2017-04-01,23185648.95547
2017-07-01,23601974.04483
2017-10-01,27931774.98923
2018-01-01,22422058.98536
2018-04-01,22799303.48631
2018-07-01,22105267.61775
2018-10-01,25298974.53614
2019-01-01,20358786.66804
2019-04-01,22655553.84436
2019-07-01,22897867.76627
2019-10-01,27723880.03906
2020-01-01,20256573.67667
2020-04-01,18271465.02901
2020-07-01,20807328.51314
2020-10-01,27485471.18358
2021-01-01,21398278.85905
2021-04-01,24023165.08331
2021-07-01,25457074.61376
2021-10-01,31132264.51539
2022-01-01,22967384.72151
2022-04-01,27265353.43786
2022-07-01,28631846.37735
2022-10-01,34652040.86400
2023-01-01,25587516.69936
2023-04-01,27195080.38663
2023-07-01,27845342.48441
2023-10-01,34167285.20292
2024-01-01,27452375.92598
2024-04-01,27866444.43897
2024-07-01,28129471.17912
2024-10-01,34865862.23460
2025-01-01,28087861.44068
2025-04-01,29486664.75149
2025-07-01,29522639.31842
2025-10-01,36214113.84397
2026-01-01,28623932.99706
2026-04-01,30069118.07857
