date,value
2021-01-01,626.00000
2021-02-01,1315.00000
2021-03-01,1510.00000
2021-04-01,1366.00000
2021-05-01,1754.00000
2021-06-01,2097.00000
2021-07-01,1071.00000
2021-08-01,1421.00000
2021-09-01,774.00000
2021-10-01,753.00000
2021-11-01,908.00000
2021-12-01,1068.00000
2022-01-01,412.00000
2022-02-01,555.00000
2022-03-01,1103.00000
2022-04-01,557.00000
2022-05-01,471.00000
2022-06-01,522.00000
2022-07-01,770.00000
2022-08-01,976.00000
2022-09-01,338.00000
2022-10-01,2147.00000
2022-11-01,1662.00000
2022-12-01,1133.00000
2023-01-01,2027.00000
2023-02-01,1466.00000
2023-03-01,1527.00000
2023-04-01,1002.00000
2023-05-01,1452.00000
2023-06-01,923.00000
2023-07-01,1392.00000
2023-08-01,1128.00000
2023-09-01,1232.00000
2023-10-01,1400.00000
2023-11-01,1163.00000
2023-12-01,2971.00000
2024-01-01,1936.00000
2024-02-01,2542.00000
2024-03-01,1780.00000
2024-04-01,1515.00000
2024-05-01,1758.00000
2024-06-01,1696.00000
2024-07-01,1605.00000
2024-08-01,1327.00000
2024-09-01,1478.00000
2024-10-01,2253.00000
2024-11-01,2098.00000
2024-12-01,2447.00000
2025-01-01,1041.00000
2025-02-01,1222.00000
2025-03-01,2072.00000
2025-04-01,2231.00000
2025-05-01,1708.00000
2025-06-01,2108.00000
2025-07-01,2317.00000
2025-08-01,1546.00000
2025-09-01,2205.00000
2025-10-01,2508.00000
2025-11-01,2142.00000
2025-12-01,2505.00000
2026-01-01,1279.00000
2026-02-01,1227.00000
2026-03-01,1373.00000
2026-04-01,1615.00000
2026-05-01,1529.00000
2026-06-01,2071.00000
2026-07-01,1849.00000
2026-08-01,1796.00000
