date,value
2021-01-01,7434.00000
2021-02-01,9061.00000
2021-03-01,17459.00000
2021-04-01,10393.00000
2021-05-01,9433.00000
2021-06-01,13449.50000
2021-07-01,8354.00000
2021-08-01,7656.00000
2021-09-01,6623.00000
2021-10-01,6528.50000
2021-11-01,5735.00000
2021-12-01,6106.00000
2022-01-01,3156.50000
2022-02-01,5243.50000
2022-03-01,10317.00000
2022-04-01,8729.50000
2022-05-01,9419.00000
2022-06-01,9273.50000
2022-07-01,7144.50000
2022-08-01,6681.00000
2022-09-01,6554.00000
2022-10-01,8652.00000
2022-11-01,8385.00000
2022-12-01,10702.50000
2023-01-01,7961.00000
2023-02-01,8505.50000
2023-03-01,14493.00000
2023-04-01,12554.00000
2023-05-01,13728.50000
2023-06-01,10888.50000
2023-07-01,17268.50000
2023-08-01,10959.00000
2023-09-01,10249.00000
2023-10-01,10770.00000
2023-11-01,13280.50000
2023-12-01,20827.00000
2024-01-01,9970.00000
2024-02-01,11825.50000
2024-03-01,10406.50000
2024-04-01,9831.50000
2024-05-01,14827.00000
2024-06-01,12288.00000
2024-07-01,14750.50000
2024-08-01,11657.00000
2024-09-01,9873.00000
2024-10-01,15768.00000
2024-11-01,17716.00000
2024-12-01,23136.00000
2025-01-01,8282.50000
2025-02-01,10137.00000
2025-03-01,14017.50000
2025-04-01,14167.50000
2025-05-01,14815.00000
2025-06-01,16953.00000
2025-07-01,13070.00000
2025-08-01,11856.00000
2025-09-01,14783.00000
2025-10-01,19189.00000
2025-11-01,18404.00000
2025-12-01,28233.00000
2026-01-01,8951.50000
2026-02-01,9508.50000
2026-03-01,11593.50000
2026-04-01,15502.00000
2026-05-01,11382.00000
2026-06-01,13008.50000
2026-07-01,11551.00000
2026-08-01,11663.50000
