date,value
2022-01-01,32579.00000
2022-02-01,31539.00000
2022-03-01,34567.00000
2022-04-01,32796.00000
2022-05-01,24393.00000
2022-06-01,35342.00000
2022-07-01,30603.00000
2022-08-01,19584.00000
2022-09-01,34436.00000
2022-10-01,35120.00000
2022-11-01,31054.00000
2022-12-01,32014.00000
2023-01-01,33991.00000
2023-02-01,36400.00000
2023-03-01,42500.00000
2023-04-01,30276.00000
2023-05-01,35208.00000
2023-06-01,34811.00000
2023-07-01,37032.00000
2023-08-01,17748.00000
2023-09-01,35208.00000
2023-10-01,33343.00000
2023-11-01,30318.00000
2023-12-01,31959.00000
2024-01-01,33245.00000
2024-02-01,36617.00000
2024-03-01,38590.00000
2024-04-01,28735.00000
2024-05-01,30002.00000
2024-06-01,23861.00000
2024-07-01,30074.00000
2024-08-01,21987.00000
2024-09-01,34909.00000
2024-10-01,33608.00000
2024-11-01,34280.00000
2024-12-01,35878.00000
2025-01-01,35034.00000
2025-02-01,34345.00000
2025-03-01,36735.00000
2025-04-01,38262.00000
2025-05-01,44088.00000
2025-06-01,36406.00000
2025-07-01,37934.00000
2025-08-01,24651.00000
2025-09-01,41850.00000
2025-10-01,42596.00000
2025-11-01,42016.00000
2025-12-01,37929.00000
2026-01-01,35810.00000
2026-02-01,38468.00000
2026-03-01,31418.00000
2026-04-01,42318.00000
2026-05-01,29320.00000
2026-06-01,44777.00000
2026-07-01,36548.00000
