date,value
2021-01-01,1422.00000
2021-02-01,1345.00000
2021-03-01,2186.00000
2021-04-01,1411.00000
2021-05-01,1094.00000
2021-06-01,1342.00000
2021-07-01,784.00000
2021-08-01,1483.00000
2021-09-01,635.00000
2021-10-01,1594.00000
2021-11-01,397.00000
2021-12-01,359.00000
2022-01-01,783.00000
2022-02-01,688.00000
2022-03-01,915.00000
2022-04-01,1044.00000
2022-05-01,1369.00000
2022-06-01,816.00000
2022-07-01,516.00000
2022-08-01,931.00000
2022-09-01,685.00000
2022-10-01,736.00000
2022-11-01,796.00000
2022-12-01,2024.00000
2023-01-01,625.00000
2023-02-01,1645.00000
2023-03-01,2903.00000
2023-04-01,2790.00000
2023-05-01,3195.00000
2023-06-01,2717.00000
2023-07-01,2114.00000
2023-08-01,2524.00000
2023-09-01,2515.00000
2023-10-01,2133.00000
2023-11-01,3460.00000
2023-12-01,4315.00000
2024-01-01,3078.00000
2024-02-01,1951.00000
2024-03-01,3284.00000
2024-04-01,1872.00000
2024-05-01,2571.00000
2024-06-01,2518.00000
2024-07-01,2016.00000
2024-08-01,2345.00000
2024-09-01,1322.00000
2024-10-01,1864.00000
2024-11-01,1838.00000
2024-12-01,5003.00000
2025-01-01,1619.00000
2025-02-01,2153.00000
2025-03-01,2571.00000
2025-04-01,2760.00000
2025-05-01,2103.00000
2025-06-01,1648.00000
2025-07-01,2442.00000
2025-08-01,1742.00000
2025-09-01,2019.00000
2025-10-01,1821.00000
2025-11-01,1900.00000
2025-12-01,3676.00000
2026-01-01,1849.00000
2026-02-01,1030.00000
2026-03-01,1004.00000
2026-04-01,740.00000
2026-05-01,432.00000
2026-06-01,478.00000
2026-07-01,348.00000
2026-08-01,438.00000
