date,value
2022-01-01,26872.00000
2022-02-01,25683.00000
2022-03-01,27153.00000
2022-04-01,26915.00000
2022-05-01,19739.00000
2022-06-01,29064.00000
2022-07-01,24640.00000
2022-08-01,15610.00000
2022-09-01,28924.00000
2022-10-01,30144.00000
2022-11-01,25849.00000
2022-12-01,26496.00000
2023-01-01,27935.00000
2023-02-01,29727.00000
2023-03-01,34699.00000
2023-04-01,23908.00000
2023-05-01,28057.00000
2023-06-01,28588.00000
2023-07-01,30166.00000
2023-08-01,13569.00000
2023-09-01,29147.00000
2023-10-01,28609.00000
2023-11-01,26179.00000
2023-12-01,27037.00000
2024-01-01,29096.00000
2024-02-01,31615.00000
2024-03-01,33598.00000
2024-04-01,24140.00000
2024-05-01,23691.00000
2024-06-01,18555.00000
2024-07-01,23251.00000
2024-08-01,16918.00000
2024-09-01,26634.00000
2024-10-01,25026.00000
2024-11-01,26327.00000
2024-12-01,27713.00000
2025-01-01,27491.00000
2025-02-01,26071.00000
2025-03-01,27397.00000
2025-04-01,28070.00000
2025-05-01,32371.00000
2025-06-01,26488.00000
2025-07-01,27730.00000
2025-08-01,18498.00000
2025-09-01,32049.00000
2025-10-01,31243.00000
2025-11-01,31189.00000
2025-12-01,28527.00000
2026-01-01,27356.00000
2026-02-01,29281.00000
2026-03-01,24297.00000
2026-04-01,32685.00000
2026-05-01,22229.00000
2026-06-01,33094.00000
2026-07-01,28640.00000
2026-08-01,25200.00000
