date,value
2022-01-01,2.00000
2022-02-01,17.00000
2022-03-01,46.00000
2022-04-01,45.00000
2022-05-01,5.00000
2022-06-01,33.00000
2022-07-01,4.00000
2022-09-01,12.00000
2022-10-01,14.00000
2022-11-01,9.00000
2022-12-01,25.00000
2023-01-01,20.00000
2023-02-01,32.00000
2023-03-01,16.00000
2023-05-01,25.00000
2023-06-01,12.00000
2023-07-01,3.00000
2023-08-01,1.00000
2023-09-01,9.00000
2023-10-01,3.00000
2023-11-01,11.00000
2023-12-01,27.00000
2024-01-01,22.00000
2024-02-01,9.00000
2024-03-01,16.00000
2024-04-01,27.00000
2024-05-01,2.00000
2024-06-01,29.00000
2024-07-01,20.00000
2024-08-01,4.00000
2024-09-01,8.00000
2024-10-01,38.00000
2024-11-01,47.00000
2024-12-01,43.00000
2025-02-01,23.00000
2025-03-01,23.00000
2025-04-01,1.00000
2025-05-01,37.00000
2025-06-01,37.00000
2025-07-01,22.00000
2025-08-01,30.00000
2025-09-01,12.00000
2025-10-01,24.00000
2025-11-01,22.00000
2025-12-01,30.00000
2026-02-01,47.00000
2026-03-01,33.00000
2026-04-01,3.00000
2026-05-01,7.00000
2026-06-01,47.00000
2026-07-01,30.00000
2026-08-01,13.00000
