date,value
2021-01-01,4038.00000
2021-02-01,6889.00000
2021-03-01,4852.00000
2021-04-01,6345.00000
2021-05-01,5126.00000
2021-06-01,4278.00000
2021-07-01,566.00000
2021-08-01,1255.00000
2021-09-01,1590.00000
2021-10-01,4542.00000
2021-11-01,2252.00000
2022-01-01,3791.00000
2022-02-01,1311.00000
2022-03-01,1442.00000
2022-04-01,2230.00000
2022-05-01,5072.00000
2022-06-01,5288.00000
2022-07-01,3025.00000
2022-08-01,1578.00000
2022-09-01,3237.00000
2022-10-01,4208.00000
2022-11-01,5532.00000
2022-12-01,1827.00000
2023-01-01,507.00000
2023-02-01,1646.00000
2023-03-01,2954.00000
2023-04-01,3171.00000
2023-05-01,3998.00000
2023-06-01,3393.00000
2023-07-01,4020.00000
2023-08-01,2862.00000
2023-09-01,5950.00000
2023-10-01,5489.00000
2023-11-01,4705.00000
2023-12-01,4001.00000
2024-01-01,2068.00000
2024-02-01,3654.00000
2024-03-01,4716.00000
2024-04-01,3527.00000
2024-05-01,2424.00000
2024-06-01,113.00000
2024-07-01,850.00000
2024-08-01,228.00000
2024-09-01,1251.00000
2024-10-01,802.00000
2024-11-01,1384.00000
2024-12-01,599.00000
2025-01-01,97.00000
2025-02-01,303.00000
2025-03-01,620.00000
2025-04-01,498.00000
2025-05-01,246.00000
2025-06-01,560.00000
2025-07-01,302.00000
2025-08-01,10.00000
2025-10-01,998.00000
2025-11-01,3312.00000
2025-12-01,2613.00000
2026-02-01,3.00000
