date,value
2024-06-28,412910.00000
2024-07-05,406314.86000
2024-07-12,404249.28600
2024-07-19,397452.65100
2024-07-26,394926.53000
2024-08-02,392937.80200
2024-08-09,391085.40800
2024-08-16,386008.20500
2024-08-23,383713.75500
2024-08-30,382030.94000
2024-09-06,378547.94700
2024-09-13,376929.76700
2024-09-20,370364.17300
2024-09-27,368458.77500
2024-10-04,366805.16800
2024-10-11,366367.76500
2024-10-18,362472.42200
2024-10-25,361948.13600
2024-11-01,361122.27600
2024-11-08,360460.45600
2024-11-15,356955.95300
2024-11-22,355579.04700
2024-11-29,355000.67700
2024-12-06,353311.66500
2024-12-13,353948.33800
2024-12-20,350053.79400
2024-12-27,349217.72600
2025-01-03,346900.43200
2025-01-10,345218.93600
2025-01-17,341233.06200
2025-01-24,339817.52200
2025-01-31,341173.25800
2025-02-07,341920.64800
2025-02-14,344540.82000
2025-02-21,357906.51000
2025-02-28,369220.24200
2025-03-07,380226.89500
2025-03-14,394320.31600
2025-03-21,404636.64900
2025-03-28,411528.55300
2025-04-04,419061.38000
2025-04-11,429627.64500
2025-04-18,437709.26300
2025-04-25,444644.42300
2025-05-02,451282.12700
2025-05-09,458919.85400
2025-05-16,465762.89100
2025-05-23,473866.02400
2025-05-30,481924.39600
2025-06-06,487791.31500
2025-06-13,496489.22700
2025-06-20,502209.77700
2025-06-27,511905.30900
2025-07-04,519907.46100
2025-07-11,527208.19600
2025-07-18,535214.92500
2025-07-25,548601.52000
2025-08-01,561447.78900
2025-08-08,572699.39800
2025-08-15,583695.65900
2025-08-22,593199.20200
2025-08-29,601422.75400
2025-09-05,609346.36900
2025-09-12,618351.11100
2025-09-19,626544.09600
2025-09-26,636921.59300
2025-10-03,643450.81100
2025-10-10,651768.22800
2025-10-17,656753.35900
2025-10-24,663078.84100
2025-10-31,670273.02000
2025-11-07,676301.43700
2025-11-14,683162.13600
2025-11-21,685926.73800
2025-11-28,691133.60200
2025-12-05,694925.85700
2025-12-12,703571.83500
2025-12-19,709295.33900
2025-12-26,718648.81400
2026-01-02,723871.29100
2026-01-09,725473.06100
2026-01-16,723271.45300
2026-01-23,723658.22400
2026-01-30,724530.63500
2026-02-06,732475.42700
2026-02-13,740173.56800
2026-02-20,742189.42500
2026-02-27,747128.66700
2026-03-06,750221.40900
2026-03-13,755755.10200
2026-03-20,754274.39900
2026-03-27,759627.07000
2026-04-03,761166.39900
2026-04-10,761273.14700
2026-04-17,759007.02200
2026-04-24,759393.99900
2026-05-01,761146.89300
2026-05-08,761595.68100
2026-05-15,761798.50100
2026-05-22,763665.64400
2026-05-29,763620.56300
2026-06-05,763478.12300
2026-06-12,766509.51300
2026-06-19,765751.16500
2026-06-26,768871.39100
2026-07-03,770971.98600
2026-07-10,771025.72800
2026-07-17,768110.56400
2026-07-24,768943.37400
2026-07-31,771362.22900
2026-08-07,771403.57000
2026-08-14,773255.44400
2026-08-21,770206.64200
2026-08-28,771046.91700
2026-09-04,770154.22400
2026-09-11,769415.18500
