date,value
2024-06-28,13358941.81600
2024-07-05,13386129.82000
2024-07-12,13501812.69200
2024-07-19,13464744.80600
2024-07-26,13544575.90500
2024-08-02,13672365.36800
2024-08-09,13776638.68200
2024-08-16,13816528.10200
2024-08-23,14009900.43900
2024-08-30,14119932.38200
2024-09-06,14135303.68500
2024-09-13,14200604.03400
2024-09-20,14278782.79600
2024-09-27,14428621.94600
2024-10-04,14464702.21600
2024-10-11,14472772.46500
2024-10-18,14467124.58600
2024-10-25,14555448.09600
2024-11-01,14645635.15300
2024-11-08,14654601.88200
2024-11-15,14688988.13900
2024-11-22,14777259.11200
2024-11-29,14961670.66100
2024-12-06,15028821.53300
2024-12-13,15184015.15400
2024-12-20,15246603.91200
2024-12-27,15455356.70300
2025-01-03,15482723.96000
2025-01-10,15572495.57800
2025-01-17,15593823.30900
2025-01-24,15741019.81800
2025-01-31,15884976.42600
2025-02-07,16005503.94100
2025-02-14,16182790.21200
2025-02-21,16211016.61600
2025-02-28,16370123.17400
2025-03-07,16561957.02400
2025-03-14,16735892.97800
2025-03-21,16965418.39600
2025-03-28,17028405.06700
2025-04-04,17190723.09400
2025-04-11,17452270.96900
2025-04-18,17496606.68500
2025-04-25,17618354.59600
2025-05-02,17800707.98300
2025-05-09,17831922.24500
2025-05-16,17883108.59900
2025-05-23,18073780.00200
2025-05-30,18339296.16000
2025-06-06,18365884.62500
2025-06-13,18510482.80700
2025-06-20,18588689.67500
2025-06-27,18887474.70000
2025-07-04,19008816.85400
2025-07-11,19118686.78100
2025-07-18,19182514.92800
2025-07-25,19339011.96100
2025-08-01,19476498.12400
2025-08-08,19562494.31800
2025-08-15,19673777.80100
2025-08-22,19733459.00100
2025-08-29,19964271.54100
2025-09-05,20046034.94800
2025-09-12,20184508.91500
2025-09-19,20214519.56500
2025-09-26,20434745.63000
2025-10-03,20595253.30100
2025-10-10,20614775.81200
2025-10-17,20701050.80900
2025-10-24,20794554.60600
2025-10-31,20978392.87100
2025-11-07,20985955.86200
2025-11-14,21215745.21500
2025-11-21,21235156.45500
2025-11-28,21460567.68700
2025-12-05,21556077.70100
2025-12-12,21819167.12500
2025-12-19,21938029.56400
2025-12-26,22251475.78000
2026-01-02,22441467.16400
2026-01-09,22407550.23900
2026-01-16,22453680.49700
2026-01-23,22576818.61800
2026-01-30,22927864.12100
2026-02-06,23075265.39800
2026-02-13,23270099.18100
2026-02-20,23292754.35600
2026-02-27,23514581.12700
2026-03-06,23547852.43900
2026-03-13,23695385.72300
2026-03-20,23669851.64300
2026-03-27,23862109.66100
2026-04-03,24255630.91600
2026-04-10,24445977.32700
2026-04-17,24512656.27800
2026-04-24,24608054.28100
2026-05-01,24870558.73700
2026-05-08,24929475.17200
2026-05-15,25030471.26600
2026-05-22,25132675.40300
2026-05-29,25261896.65400
2026-06-05,25385673.64400
2026-06-12,25573644.47700
2026-06-19,25560060.13200
2026-06-26,25887422.89200
2026-07-03,26051120.72700
2026-07-10,26119721.80000
2026-07-17,26047377.79700
2026-07-24,26298405.02400
2026-07-31,26740928.99300
2026-08-07,26764029.29600
2026-08-14,26961079.36600
2026-08-21,26961648.78400
2026-08-28,27286131.56700
2026-09-04,27373080.48500
2026-09-11,27509336.67700
2026-09-18,27531396.68900
