date,value
2024-06-28,1395455.98200
2024-07-05,1419158.68600
2024-07-12,1432695.66600
2024-07-19,1449335.93200
2024-07-26,1457083.52200
2024-08-02,1467879.11200
2024-08-09,1496703.52800
2024-08-16,1478319.44600
2024-08-23,1504253.78100
2024-08-30,1511645.71800
2024-09-06,1521233.85300
2024-09-13,1520884.44100
2024-09-20,1508193.08000
2024-09-27,1512318.69800
2024-10-04,1510562.50600
2024-10-11,1530778.55200
2024-10-18,1536475.58900
2024-10-25,1547617.67900
2024-11-01,1561770.91200
2024-11-08,1555618.17700
2024-11-15,1554737.30300
2024-11-22,1575040.45500
2024-11-29,1574065.09500
2024-12-06,1573158.05400
2024-12-13,1571267.94500
2024-12-20,1582025.36000
2024-12-27,1579041.60100
2025-01-03,1592802.55300
2025-01-10,1596583.32100
2025-01-17,1613855.48300
2025-01-24,1625056.86000
2025-01-31,1688800.07300
2025-02-07,1662850.53400
2025-02-14,1678716.82600
2025-02-21,1685786.50600
2025-02-28,1682419.60100
2025-03-07,1695602.85900
2025-03-14,1702931.04500
2025-03-21,1764231.53100
2025-03-28,1774736.26300
2025-04-04,1780177.70000
2025-04-11,1843050.24500
2025-04-18,1901466.86900
2025-04-25,1910503.87900
2025-05-02,1920038.73000
2025-05-09,1933094.57800
2025-05-16,1932491.30800
2025-05-23,1956921.63600
2025-05-30,1974895.14300
2025-06-06,1979838.15600
2025-06-13,2002688.98800
2025-06-20,1993781.96700
2025-06-27,2006978.58900
2025-07-04,2030473.94100
2025-07-11,2067104.80800
2025-07-18,2083118.99100
2025-07-25,2102670.97600
2025-08-01,2098428.28800
2025-08-08,2064844.00900
2025-08-15,2071815.27500
2025-08-22,2127190.83600
2025-08-29,2121248.81900
2025-09-05,2129953.66100
2025-09-12,2136843.75800
2025-09-19,2137195.19800
2025-09-26,2152316.33700
2025-10-03,2153647.54500
2025-10-10,2174636.66300
2025-10-17,2179388.24100
2025-10-24,2164746.50800
2025-10-31,2159058.06500
2025-11-07,2195898.35900
2025-11-14,2189666.99700
2025-11-21,2210860.77600
2025-11-28,2229950.91700
2025-12-05,2239804.53900
2025-12-12,2262176.24900
2025-12-19,2251497.92700
2025-12-26,2274044.74700
2026-01-02,2271756.57700
2026-01-09,2268009.78800
2026-01-16,2324324.56000
2026-01-23,2343145.38000
2026-01-30,2334758.45100
2026-02-06,2335104.90900
2026-02-13,2367989.48200
2026-02-20,2339467.85900
2026-02-27,2334152.95700
2026-03-06,2379499.29200
2026-03-13,2391391.30900
2026-03-20,2387175.50900
2026-03-27,2359360.30400
2026-04-03,2374064.65900
2026-04-10,2372957.26800
2026-04-17,2344445.78000
2026-04-24,2349453.82000
2026-05-01,2349647.21600
2026-05-08,2370713.83500
2026-05-15,2378047.41000
2026-05-22,2371555.27400
2026-05-29,2381513.96200
2026-06-05,2403624.76000
2026-06-12,2420005.79100
2026-06-19,2432306.63300
2026-06-26,2385093.77200
2026-07-03,2390532.45000
2026-07-10,2391189.36300
2026-07-17,2393438.21200
2026-07-24,2379710.57500
2026-07-31,2391497.71100
2026-08-07,2415552.08700
2026-08-14,2426215.82600
2026-08-21,2426523.67800
2026-08-28,2427921.09200
2026-09-04,2424027.38100
2026-09-11,2416626.61700
2026-09-18,2424169.18400
