date,value
2011-09-01,550.62423
2011-10-01,555.01476
2011-11-01,563.09231
2011-12-01,568.71494
2012-01-01,565.68765
2012-02-01,572.24220
2012-03-01,585.37581
2012-04-01,596.23250
2012-05-01,611.42003
2012-06-01,619.52993
2012-07-01,626.09256
2012-08-01,629.30071
2012-09-01,636.82368
2012-10-01,645.87334
2012-11-01,653.78589
2012-12-01,673.11361
2013-01-01,677.71479
2013-02-01,692.30247
2013-03-01,710.71716
2013-04-01,723.97662
2013-05-01,761.51135
2013-06-01,789.84056
2013-07-01,811.81467
2013-08-01,827.12633
2013-09-01,848.60837
2013-10-01,849.53039
2013-11-01,867.20313
2013-12-01,898.10879
2014-01-01,924.66004
2014-02-01,925.79507
2014-03-01,930.65132
2014-04-01,934.09854
2014-05-01,939.85101
2014-06-01,968.46209
2014-07-01,978.34382
2014-08-01,985.86358
2014-09-01,1024.67784
2014-10-01,1021.99199
2014-11-01,1038.08299
2014-12-01,1074.85714
2015-01-01,1090.35388
2015-02-01,1118.82817
2015-03-01,1149.41402
2015-04-01,1176.16995
2015-05-01,1186.94262
2015-06-01,1213.50491
2015-07-01,1239.33708
2015-08-01,1259.33522
2015-09-01,1281.23960
2015-10-01,1268.82822
2015-11-01,1269.36253
2015-12-01,1282.79539
2016-01-01,1292.02829
2016-02-01,1302.18948
2016-03-01,1302.12545
2016-04-01,1303.93648
2016-05-01,1335.72988
2016-06-01,1351.68421
2016-07-01,1363.27061
2016-08-01,1369.29749
2016-09-01,1385.31742
2016-10-01,1403.66894
2016-11-01,1458.89231
2016-12-01,1481.65811
2017-01-01,1538.18675
2017-02-01,1531.74741
2017-03-01,1570.29440
2017-04-01,1597.16181
2017-05-01,1622.91984
2017-06-01,1646.63225
2017-07-01,1661.91071
2017-08-01,1668.12401
2017-09-01,1696.78550
2017-10-01,1733.17415
2017-11-01,1779.75038
2017-12-01,1779.96750
2018-01-01,1788.59369
2018-02-01,1813.79959
2018-03-01,1853.91788
2018-04-01,1892.00284
2018-05-01,1964.00944
2018-06-01,1975.51929
2018-07-01,2014.99096
2018-08-01,2203.08122
2018-09-01,2116.71651
2018-10-01,2020.72720
2018-11-01,1959.68066
2018-12-01,1953.23805
2019-01-01,1940.35582
2019-02-01,1977.68362
2019-03-01,2054.40896
2019-04-01,2077.11242
2019-05-01,2063.98608
2019-06-01,2060.89847
2019-07-01,2027.29124
2019-08-01,2059.96642
2019-09-01,2063.74879
2019-10-01,2086.02046
2019-11-01,2111.41504
2019-12-01,2158.77209
2020-01-01,2185.31536
2020-02-01,2256.23418
2020-03-01,2348.38035
2020-04-01,2515.29341
2020-05-01,2567.67155
2020-06-01,2644.86858
2020-07-01,2745.17956
2020-08-01,2822.01385
2020-09-01,2874.26650
2020-10-01,2958.47911
2020-11-01,2942.96461
2020-12-01,2912.40212
2021-01-01,2894.80271
2021-02-01,2924.23958
2021-03-01,3044.53816
2021-04-01,3064.78539
2021-05-01,3090.42619
2021-06-01,3143.39109
2021-07-01,3130.08011
2021-08-01,3168.08715
2021-09-01,3258.92996
2021-10-01,3363.77674
2021-11-01,3771.19462
2021-12-01,3856.01265
2022-01-01,3925.11608
2022-02-01,4081.80436
2022-03-01,4341.05680
2022-04-01,4490.62961
2022-05-01,4820.89213
2022-06-01,4993.99435
2022-07-01,5168.08380
2022-08-01,5305.88050
2022-09-01,5465.40598
2022-10-01,5640.64602
2022-11-01,5859.67272
2022-12-01,6111.18823
2023-01-01,6314.87112
2023-02-01,6485.16798
2023-03-01,6880.87682
2023-04-01,7223.14571
2023-05-01,7511.65149
2023-06-01,8033.69988
2023-07-01,8292.40301
2023-08-01,8432.78038
2023-09-01,8645.35227
2023-10-01,8857.51507
2023-11-01,9111.47015
2023-12-01,9384.34625
2024-01-01,9598.96921
2024-02-01,9977.61876
2024-03-01,10431.98610
2024-04-01,10642.09949
2024-05-01,10971.89196
2024-06-01,11250.40233
2024-07-01,11444.45758
2024-08-01,11834.71162
2024-09-01,12155.83591
2024-10-01,12280.54565
2024-11-01,12584.45854
2024-12-01,13073.37341
2025-01-01,13347.21160
2025-02-01,13723.55396
2025-03-01,14273.47095
2025-04-01,14842.05117
2025-05-01,15337.08968
2025-06-01,15812.94530
2025-07-01,16240.43061
2025-08-01,16679.83519
2025-09-01,17173.94521
2025-10-01,17454.94739
2025-11-01,17947.55022
2025-12-01,18723.19872
2026-01-01,19129.10272
2026-02-01,19581.90178
2026-03-01,20144.75537
2026-04-01,20660.84130
2026-05-01,21101.46180
2026-06-01,21690.91356
2026-07-01,22198.40447
