date,value
2011-09-01,0.00135
2011-10-01,0.00130
2011-11-01,0.00125
2011-12-01,0.00119
2012-01-01,0.00119
2012-02-01,0.00114
2012-03-01,0.00109
2012-04-01,0.00103
2012-05-01,0.00097
2012-06-01,0.00097
2012-07-01,0.00086
2012-08-01,0.00086
2012-09-01,0.00078
2012-10-01,0.00074
2012-11-01,0.00067
2012-12-01,0.00063
2013-01-01,0.00057
2013-02-01,0.00051
2013-03-01,0.00437
2013-04-01,0.00396
2013-05-01,0.00356
2013-06-01,0.00314
2013-07-01,0.00273
2013-08-01,0.00231
2013-09-01,0.00196
2013-10-01,0.00147
2013-11-01,0.00110
2013-12-01,0.09684
2014-01-01,0.09342
2014-02-01,0.08924
2014-03-01,0.16825
2014-04-01,0.16417
2014-05-01,0.15704
2014-06-01,0.14972
2014-07-01,0.14226
2014-08-01,0.13479
2014-09-01,0.12716
2014-10-01,0.13408
2014-11-01,0.12642
2014-12-01,0.11880
2015-01-01,0.11110
2015-02-01,0.10333
2015-03-01,0.09534
2015-04-01,0.08738
2015-05-01,0.07933
2015-06-01,0.07116
2015-07-01,0.06206
2015-08-01,0.05398
2015-09-01,0.04578
2015-10-01,0.03748
2015-11-01,0.02909
2015-12-01,0.02060
2016-01-01,0.01624
2016-02-01,0.01179
2016-03-01,0.00727
2016-04-01,0.00678
2016-05-01,0.00629
2016-06-01,0.03080
2016-07-01,0.02536
2016-08-01,0.05028
2016-09-01,0.02518
2016-10-01,0.05009
2016-11-01,0.02500
2016-12-01,0.02500
2017-01-01,0.00000
2017-02-01,0.00000
2017-03-01,0.00000
2017-04-01,0.00000
2017-05-01,0.00000
2017-06-01,0.00000
2017-07-01,0.00000
2017-08-01,0.10000
2017-09-01,0.07500
2017-10-01,0.10000
2017-11-01,0.04600
2017-12-01,0.04600
2018-01-01,0.03961
2018-02-01,0.03958
2018-03-01,0.04315
2018-04-01,0.00353
2018-05-01,0.00543
2018-06-01,0.00338
2018-07-01,0.09920
2018-08-01,0.17412
2018-09-01,0.17503
2018-10-01,0.17614
2018-11-01,0.21126
2018-12-01,0.22992
2019-01-01,0.28770
2019-02-01,0.45604
2019-03-01,0.56991
2019-04-01,0.57341
2019-05-01,0.81860
2019-06-01,1.05926
2019-07-01,1.44186
2019-08-01,1.40765
2019-09-01,1.28834
2019-10-01,1.41783
2019-11-01,2.06604
2019-12-01,2.56349
2020-01-01,2.18930
2020-02-01,2.12176
2020-03-01,2.33288
2020-04-01,2.35752
2020-05-01,2.52739
2020-06-01,2.83209
2020-07-01,2.96649
2020-08-01,2.91359
2020-09-01,2.81280
2020-10-01,2.84470
2020-11-01,2.75690
2020-12-01,2.39308
2021-01-01,2.35340
2021-02-01,2.34423
2021-03-01,2.40891
2021-04-01,2.28724
2021-05-01,2.32411
2021-06-01,2.27387
2021-07-01,2.24249
2021-08-01,2.18781
2021-09-01,2.18292
2021-10-01,2.19989
2021-11-01,2.46445
2021-12-01,2.47178
2022-01-01,2.45976
2022-02-01,2.45643
2022-03-01,2.47739
2022-04-01,2.25125
2022-05-01,2.44644
2022-06-01,2.47841
2022-07-01,2.48823
2022-08-01,2.45088
2022-09-01,2.52322
2022-10-01,2.38824
2022-11-01,2.50705
2022-12-01,2.98841
2023-01-01,2.99555
2023-02-01,2.84363
2023-03-01,2.92962
2023-04-01,2.70728
2023-05-01,2.68661
2023-06-01,2.81851
2023-07-01,2.88742
2023-08-01,2.75772
2023-09-01,2.92173
2023-10-01,2.77594
2023-11-01,2.89775
2023-12-01,3.25301
2024-01-01,3.44168
2024-02-01,3.54090
2024-03-01,3.55721
2024-04-01,2.85175
2024-05-01,3.23675
2024-06-01,3.08114
2024-07-01,4.08026
2024-08-01,4.53974
2024-09-01,4.24327
2024-10-01,3.20941
2024-11-01,3.68895
2024-12-01,3.68688
2025-01-01,3.71038
2025-02-01,3.31989
2025-03-01,3.58324
2025-04-01,3.63166
2025-05-01,3.34030
2025-06-01,3.11997
2025-07-01,5.03358
2025-08-01,5.09269
2025-09-01,4.80322
2025-10-01,4.63681
2025-11-01,4.26217
2025-12-01,3.86212
2026-01-01,3.61650
2026-02-01,3.60216
2026-03-01,3.02926
2026-04-01,2.62154
2026-05-01,2.68051
2026-06-01,1.96749
2026-07-01,2.02963
