date,value
2011-09-01,0.89081
2011-10-01,0.77800
2011-11-01,0.74559
2011-12-01,0.77319
2012-01-01,0.76085
2012-02-01,0.65168
2012-03-01,0.68081
2012-04-01,0.70642
2012-05-01,0.60659
2012-06-01,0.65188
2012-07-01,0.69778
2012-08-01,0.74725
2012-09-01,0.78816
2012-10-01,0.59830
2012-11-01,0.68481
2012-12-01,0.80022
2013-01-01,0.91694
2013-02-01,0.88203
2013-03-01,1.01531
2013-04-01,1.17681
2013-05-01,1.35612
2013-06-01,1.49669
2013-07-01,1.39453
2013-08-01,1.46420
2013-09-01,1.46026
2013-10-01,1.48392
2013-11-01,1.58108
2013-12-01,1.71588
2014-01-01,1.51889
2014-02-01,1.51052
2014-03-01,1.46931
2014-04-01,1.46563
2014-05-01,1.46676
2014-06-01,1.46963
2014-07-01,1.48218
2014-08-01,1.51906
2014-09-01,1.54382
2014-10-01,1.55541
2014-11-01,1.40282
2014-12-01,1.40110
2015-01-01,1.39928
2015-02-01,1.38399
2015-03-01,1.35820
2015-04-01,1.32180
2015-05-01,1.29294
2015-06-01,1.27938
2015-07-01,1.30582
2015-08-01,1.33160
2015-09-01,1.34694
2015-10-01,1.35580
2015-11-01,1.35664
2015-12-01,1.36477
2016-01-01,1.40185
2016-02-01,1.46301
2016-03-01,1.52331
2016-04-01,1.59113
2016-05-01,1.65207
2016-06-01,1.72268
2016-07-01,1.76481
2016-08-01,1.83895
2016-09-01,1.90898
2016-10-01,1.94688
2016-11-01,1.95385
2016-12-01,1.76443
2017-01-01,1.81663
2017-02-01,1.88707
2017-03-01,1.97540
2017-04-01,2.06413
2017-05-01,2.15496
2017-06-01,2.24787
2017-07-01,2.36102
2017-08-01,2.51475
2017-09-01,2.37614
2017-10-01,2.51341
2017-11-01,2.61173
2017-12-01,2.07436
2018-01-01,2.17343
2018-02-01,2.26689
2018-03-01,2.17571
2018-04-01,2.25301
2018-05-01,2.37589
2018-06-01,2.37296
2018-07-01,2.05117
2018-08-01,2.11693
2018-09-01,2.04062
2018-10-01,1.87835
2018-11-01,1.87102
2018-12-01,1.87879
2019-01-01,1.93631
2019-02-01,1.99234
2019-03-01,1.84918
2019-04-01,1.93650
2019-05-01,2.02418
2019-06-01,2.09488
2019-07-01,2.20552
2019-08-01,2.30208
2019-09-01,2.40081
2019-10-01,2.28900
2019-11-01,2.38282
2019-12-01,2.50119
2020-01-01,2.65657
2020-02-01,2.77441
2020-03-01,2.72024
2020-04-01,2.79084
2020-05-01,2.48265
2020-06-01,2.93461
2020-07-01,3.38274
2020-08-01,3.74407
2020-09-01,4.06801
2020-10-01,4.35379
2020-11-01,4.61468
2020-12-01,4.41792
2021-01-01,4.63479
2021-02-01,4.87218
2021-03-01,5.17584
2021-04-01,5.34993
2021-05-01,5.44721
2021-06-01,5.65706
2021-07-01,5.81627
2021-08-01,5.97917
2021-09-01,6.14102
2021-10-01,6.22942
2021-11-01,6.28623
2021-12-01,6.31062
2022-01-01,6.59872
2022-02-01,6.75052
2022-03-01,6.98867
2022-04-01,7.24048
2022-05-01,7.42489
2022-06-01,6.72716
2022-07-01,7.02740
2022-08-01,7.18757
2022-09-01,7.19710
2022-10-01,7.16962
2022-11-01,7.22528
2022-12-01,7.45716
2023-01-01,7.82989
2023-02-01,7.96930
2023-03-01,8.05910
2023-04-01,8.34176
2023-05-01,8.57326
2023-06-01,8.74054
2023-07-01,8.90493
2023-08-01,9.02463
2023-09-01,9.01301
2023-10-01,9.04116
2023-11-01,9.16522
2023-12-01,9.50598
2024-01-01,10.16121
2024-02-01,10.46221
2024-03-01,10.68014
2024-04-01,10.87521
2024-05-01,11.25677
2024-06-01,11.51524
2024-07-01,11.91177
2024-08-01,12.26013
2024-09-01,12.43044
2024-10-01,12.56024
2024-11-01,12.59027
2024-12-01,12.61807
2025-01-01,12.90381
2025-02-01,13.19191
2025-03-01,13.71331
2025-04-01,14.80565
2025-05-01,15.67103
2025-06-01,16.40162
2025-07-01,17.16217
2025-08-01,18.88139
2025-09-01,19.71091
2025-10-01,20.32399
2025-11-01,20.88365
2025-12-01,21.46674
2026-01-01,22.93844
2026-02-01,23.93013
2026-03-01,24.55022
2026-04-01,25.06198
2026-05-01,25.41441
2026-06-01,25.83444
2026-07-01,26.86731
