date,value
2011-09-01,6.07257
2011-10-01,6.23759
2011-11-01,6.37989
2011-12-01,6.59143
2012-01-01,6.72628
2012-02-01,6.78631
2012-03-01,6.90212
2012-04-01,7.06784
2012-05-01,7.40020
2012-06-01,7.63528
2012-07-01,7.78640
2012-08-01,7.92450
2012-09-01,8.28186
2012-10-01,8.44647
2012-11-01,8.61198
2012-12-01,8.87806
2013-01-01,9.16686
2013-02-01,9.46052
2013-03-01,9.85902
2013-04-01,10.17380
2013-05-01,10.58504
2013-06-01,10.80840
2013-07-01,11.09870
2013-08-01,11.38452
2013-09-01,11.81215
2013-10-01,11.86593
2013-11-01,12.04365
2013-12-01,12.18190
2014-01-01,12.26575
2014-02-01,12.09724
2014-03-01,12.00310
2014-04-01,11.96910
2014-05-01,12.20393
2014-06-01,12.40761
2014-07-01,12.56289
2014-08-01,12.70838
2014-09-01,12.92496
2014-10-01,12.96551
2014-11-01,13.26373
2014-12-01,13.44807
2015-01-01,13.61486
2015-02-01,13.67765
2015-03-01,13.97481
2015-04-01,14.36210
2015-05-01,14.72926
2015-06-01,14.82244
2015-07-01,14.64909
2015-08-01,14.54099
2015-09-01,14.45018
2015-10-01,14.37709
2015-11-01,14.39444
2015-12-01,15.28208
2016-01-01,15.28328
2016-02-01,15.34746
2016-03-01,15.64070
2016-04-01,15.69052
2016-05-01,15.65911
2016-06-01,15.61503
2016-07-01,13.76837
2016-08-01,13.70609
2016-09-01,13.69407
2016-10-01,13.78701
2016-11-01,13.94449
2016-12-01,14.08129
2017-01-01,14.09359
2017-02-01,14.18344
2017-03-01,14.68921
2017-04-01,14.91428
2017-05-01,14.96095
2017-06-01,15.03584
2017-07-01,15.11943
2017-08-01,15.23187
2017-09-01,15.37278
2017-10-01,15.45965
2017-11-01,15.54889
2017-12-01,15.59971
2018-01-01,15.73345
2018-02-01,15.92103
2018-03-01,16.05245
2018-04-01,16.07386
2018-05-01,16.08777
2018-06-01,16.16725
2018-07-01,16.06411
2018-08-01,15.94043
2018-09-01,15.72735
2018-10-01,15.41950
2018-11-01,15.20770
2018-12-01,15.20948
2019-01-01,15.16757
2019-02-01,15.06678
2019-03-01,15.09854
2019-04-01,15.06076
2019-05-01,15.05542
2019-06-01,15.01007
2019-07-01,14.91144
2019-08-01,14.90797
2019-09-01,15.27555
2019-10-01,15.68724
2019-11-01,16.52208
2019-12-01,17.61491
2020-01-01,18.40180
2020-02-01,19.52270
2020-03-01,20.50897
2020-04-01,20.61316
2020-05-01,21.22665
2020-06-01,24.84576
2020-07-01,29.09511
2020-08-01,31.55937
2020-09-01,32.42128
2020-10-01,32.75687
2020-11-01,33.03184
2020-12-01,32.74295
2021-01-01,32.49571
2021-02-01,32.33783
2021-03-01,32.48246
2021-04-01,32.44416
2021-05-01,32.26977
2021-06-01,32.86074
2021-07-01,32.99910
2021-08-01,33.21700
2021-09-01,33.49011
2021-10-01,33.74301
2021-11-01,34.62079
2021-12-01,35.71420
2022-01-01,35.83907
2022-02-01,36.29689
2022-03-01,37.35753
2022-04-01,39.06098
2022-05-01,41.24603
2022-06-01,43.60671
2022-07-01,44.13027
2022-08-01,45.03854
2022-09-01,46.35361
2022-10-01,47.52260
2022-11-01,49.51087
2022-12-01,52.07283
2023-01-01,54.07033
2023-02-01,55.74088
2023-03-01,60.91519
2023-04-01,66.11382
2023-05-01,70.64166
2023-06-01,74.26924
2023-07-01,77.75818
2023-08-01,81.84083
2023-09-01,84.39619
2023-10-01,85.03831
2023-11-01,86.85960
2023-12-01,88.38196
2024-01-01,89.08275
2024-02-01,91.26898
2024-03-01,94.19049
2024-04-01,92.77837
2024-05-01,91.54966
2024-06-01,91.68200
2024-07-01,92.10978
2024-08-01,94.53382
2024-09-01,96.45867
2024-10-01,97.55484
2024-11-01,100.99129
2024-12-01,102.78874
2025-01-01,103.60996
2025-02-01,105.40202
2025-03-01,110.41087
2025-04-01,115.38299
2025-05-01,118.56681
2025-06-01,120.72604
2025-07-01,124.64278
2025-08-01,128.74064
2025-09-01,134.12932
2025-10-01,138.40731
2025-11-01,144.61116
2025-12-01,150.63814
2026-01-01,156.87004
2026-02-01,163.94606
2026-03-01,170.52134
2026-04-01,177.37522
2026-05-01,182.95736
2026-06-01,189.68233
2026-07-01,197.26043
