date,value
2011-09-01,79.53351
2011-10-01,81.23309
2011-11-01,80.39559
2011-12-01,78.12179
2012-01-01,79.05723
2012-02-01,78.62798
2012-03-01,77.41640
2012-04-01,82.87844
2012-05-01,80.03755
2012-06-01,78.96031
2012-07-01,77.71029
2012-08-01,78.08478
2012-09-01,79.04419
2012-10-01,79.32078
2012-11-01,78.22216
2012-12-01,80.96997
2013-01-01,79.23581
2013-02-01,75.66276
2013-03-01,78.67761
2013-04-01,79.77262
2013-05-01,77.28646
2013-06-01,77.27302
2013-07-01,80.23011
2013-08-01,81.36528
2013-09-01,80.25857
2013-10-01,79.17065
2013-11-01,79.48493
2013-12-01,79.74307
2014-01-01,77.29305
2014-02-01,77.40549
2014-03-01,75.58267
2014-04-01,74.66961
2014-05-01,74.24951
2014-06-01,76.88416
2014-07-01,75.92059
2014-08-01,76.46664
2014-09-01,77.34610
2014-10-01,76.59071
2014-11-01,73.18486
2014-12-01,76.39399
2015-01-01,74.22028
2015-02-01,74.94991
2015-03-01,73.79243
2015-04-01,75.70925
2015-05-01,77.61406
2015-06-01,77.05556
2015-07-01,76.72494
2015-08-01,75.16876
2015-09-01,76.43255
2015-10-01,74.61810
2015-11-01,76.83236
2015-12-01,75.43971
2016-01-01,75.37637
2016-02-01,75.19723
2016-03-01,75.34990
2016-04-01,74.87229
2016-05-01,78.00286
2016-06-01,78.34608
2016-07-01,75.59309
2016-08-01,75.11839
2016-09-01,78.30166
2016-10-01,77.66939
2016-11-01,77.77736
2016-12-01,77.61479
2017-01-01,76.84447
2017-02-01,77.21982
2017-03-01,77.52686
2017-04-01,80.02306
2017-05-01,79.31922
2017-06-01,80.84537
2017-07-01,79.60155
2017-08-01,79.91266
2017-09-01,77.37422
2017-10-01,79.91057
2017-11-01,80.51481
2017-12-01,80.82695
2018-01-01,80.47306
2018-02-01,82.48923
2018-03-01,81.45702
2018-04-01,80.47905
2018-05-01,81.09587
2018-06-01,79.96871
2018-07-01,79.36054
2018-08-01,82.12342
2018-09-01,80.73216
2018-10-01,76.47228
2018-11-01,77.78963
2018-12-01,78.44762
2019-01-01,76.10090
2019-02-01,75.57706
2019-03-01,76.30663
2019-04-01,77.13837
2019-05-01,78.25250
2019-06-01,78.23434
2019-07-01,78.15574
2019-08-01,75.58488
2019-09-01,75.65827
2019-10-01,75.67833
2019-11-01,77.15714
2019-12-01,77.37460
2020-01-01,73.83145
2020-02-01,76.58407
2020-03-01,75.98722
2020-04-01,71.19759
2020-05-01,71.49619
2020-06-01,70.80683
2020-07-01,78.40841
2020-08-01,80.36836
2020-09-01,79.18916
2020-10-01,79.40932
2020-11-01,80.97731
2020-12-01,79.99031
2021-01-01,82.82359
2021-02-01,80.74044
2021-03-01,80.43421
2021-04-01,81.82075
2021-05-01,82.06488
2021-06-01,82.48587
2021-07-01,81.73579
2021-08-01,79.99304
2021-09-01,81.87021
2021-10-01,80.32355
2021-11-01,80.44849
2021-12-01,81.42536
2022-01-01,80.10882
2022-02-01,80.51411
2022-03-01,79.54961
2022-04-01,80.99284
2022-05-01,81.67462
2022-06-01,82.06251
2022-07-01,80.61330
2022-08-01,79.07495
2022-09-01,79.15335
2022-10-01,76.38347
2022-11-01,75.30200
2022-12-01,75.12960
2023-01-01,74.52828
2023-02-01,74.04891
2023-03-01,68.52754
2023-04-01,72.10361
2023-05-01,74.76659
2023-06-01,77.01772
2023-07-01,77.22526
2023-08-01,76.73829
2023-09-01,75.21526
2023-10-01,76.02668
2023-11-01,76.55308
2023-12-01,76.49303
2024-01-01,77.11154
2024-02-01,77.00866
2024-03-01,75.92214
2024-04-01,76.31706
2024-05-01,74.48928
2024-06-01,74.43497
2024-07-01,75.24774
2024-08-01,75.39058
2024-09-01,74.39824
2024-10-01,73.90089
2024-11-01,75.08517
2024-12-01,75.72440
2025-01-01,76.08044
2025-02-01,75.01145
2025-03-01,73.55664
2025-04-01,72.74350
2025-05-01,73.88570
2025-06-01,74.73365
2025-07-01,74.64557
2025-08-01,73.73101
2025-09-01,75.62307
2025-10-01,74.71486
2025-11-01,75.34459
2025-12-01,75.75230
2026-01-01,75.61369
2026-02-01,75.51160
2026-03-01,74.83941
2026-04-01,75.08162
2026-05-01,76.05140
2026-06-01,76.24815
2026-07-01,75.64551
2026-08-01,75.75157
