date,value
2011-09-01,81.81511
2011-10-01,83.08359
2011-11-01,83.64962
2011-12-01,82.21222
2012-01-01,82.07722
2012-02-01,82.16085
2012-03-01,80.84904
2012-04-01,82.57467
2012-05-01,80.66984
2012-06-01,80.18368
2012-07-01,79.51077
2012-08-01,82.99357
2012-09-01,80.09222
2012-10-01,79.48787
2012-11-01,78.85766
2012-12-01,76.81936
2013-01-01,76.19655
2013-02-01,77.99246
2013-03-01,78.38179
2013-04-01,80.36934
2013-05-01,81.69452
2013-06-01,80.93450
2013-07-01,76.53253
2013-08-01,79.28694
2013-09-01,81.06460
2013-10-01,81.23439
2013-11-01,75.02300
2013-12-01,79.27058
2014-01-01,76.16238
2014-02-01,79.09514
2014-03-01,80.97881
2014-04-01,81.73247
2014-05-01,83.03435
2014-06-01,83.12476
2014-07-01,82.33108
2014-08-01,77.51461
2014-09-01,72.76235
2014-10-01,68.67485
2014-11-01,68.55803
2014-12-01,73.61738
2015-01-01,78.94458
2015-02-01,80.78137
2015-03-01,79.63452
2015-04-01,78.53769
2015-05-01,78.07902
2015-06-01,80.64398
2015-07-01,81.40893
2015-08-01,79.89015
2015-09-01,76.68890
2015-10-01,77.36638
2015-11-01,76.20056
2015-12-01,75.88475
2016-01-01,74.10378
2016-02-01,75.97749
2016-03-01,78.12930
2016-04-01,79.76254
2016-05-01,78.36846
2016-06-01,77.55561
2016-07-01,77.31973
2016-08-01,71.62132
2016-09-01,77.10382
2016-10-01,75.70592
2016-11-01,72.87442
2016-12-01,73.97736
2017-01-01,74.58144
2017-02-01,76.32208
2017-03-01,78.76036
2017-04-01,80.32173
2017-05-01,81.59947
2017-06-01,80.51980
2017-07-01,78.26442
2017-08-01,78.49582
2017-09-01,80.53889
2017-10-01,79.80762
2017-11-01,81.96503
2017-12-01,79.67685
2018-01-01,79.88424
2018-02-01,77.97150
2018-03-01,77.76378
2018-04-01,75.24381
2018-05-01,83.72404
2018-06-01,83.88862
2018-07-01,83.46919
2018-08-01,80.90125
2018-09-01,79.12861
2018-10-01,77.40016
2018-11-01,52.31669
2018-12-01,71.40562
2019-01-01,74.45970
2019-02-01,76.17237
2019-03-01,74.20866
2019-04-01,75.93730
2019-05-01,77.46106
2019-06-01,78.78323
2019-07-01,78.01085
2019-08-01,78.39882
2019-09-01,75.91266
2019-10-01,74.77433
2019-11-01,76.27816
2019-12-01,75.83252
2020-01-01,76.61022
2020-02-01,79.17346
2020-03-01,75.71643
2020-04-01,69.77169
2020-05-01,65.35908
2020-06-01,67.46333
2020-07-01,76.10294
2020-08-01,74.53918
2020-09-01,75.11088
2020-10-01,78.21919
2020-11-01,76.13391
2020-12-01,76.86237
2021-01-01,73.81461
2021-02-01,77.57390
2021-03-01,78.85835
2021-04-01,79.13804
2021-05-01,78.84569
2021-06-01,79.28102
2021-07-01,79.46911
2021-08-01,77.22399
2021-09-01,78.93939
2021-10-01,78.64510
2021-11-01,79.25898
2021-12-01,80.66309
2022-01-01,79.95796
2022-02-01,78.94254
2022-03-01,77.48221
2022-04-01,78.44145
2022-05-01,77.90554
2022-06-01,75.77995
2022-07-01,77.07478
2022-08-01,75.39299
2022-09-01,75.02374
2022-10-01,73.69568
2022-11-01,66.87152
2022-12-01,74.78602
2023-01-01,74.19083
2023-02-01,75.54839
2023-03-01,73.74340
2023-04-01,75.26017
2023-05-01,77.58879
2023-06-01,75.44319
2023-07-01,75.43672
2023-08-01,74.15287
2023-09-01,75.15904
2023-10-01,75.97913
2023-11-01,76.02168
2023-12-01,75.69999
2024-01-01,75.02586
2024-02-01,78.84185
2024-03-01,77.58986
2024-04-01,78.76995
2024-05-01,78.46263
2024-06-01,77.79211
2024-07-01,76.12202
2024-08-01,75.67265
2024-09-01,75.19380
2024-10-01,75.14058
2024-11-01,75.42414
2024-12-01,76.27851
2025-01-01,75.47047
2025-02-01,77.46336
2025-03-01,77.64950
2025-04-01,76.22127
2025-05-01,76.98953
2025-06-01,76.59600
2025-07-01,75.73778
2025-08-01,74.67353
2025-09-01,74.25790
2025-10-01,74.40792
2025-11-01,74.99505
2025-12-01,74.39894
2026-01-01,75.99448
2026-02-01,74.98932
2026-03-01,74.14992
2026-04-01,75.40142
2026-05-01,75.64515
2026-06-01,74.67691
2026-07-01,74.32749
2026-08-01,72.40323
