date,value
2011-09-01,74.61876
2011-10-01,75.29946
2011-11-01,74.46869
2011-12-01,74.30354
2012-01-01,74.50683
2012-02-01,73.90641
2012-03-01,77.05708
2012-04-01,77.47213
2012-05-01,77.67244
2012-06-01,76.78406
2012-07-01,76.65382
2012-08-01,75.92132
2012-09-01,73.78799
2012-10-01,74.31322
2012-11-01,71.14104
2012-12-01,73.01961
2013-01-01,70.18945
2013-02-01,75.21211
2013-03-01,75.67801
2013-04-01,78.70689
2013-05-01,78.22191
2013-06-01,78.79188
2013-07-01,78.23071
2013-08-01,77.10204
2013-09-01,75.71255
2013-10-01,76.84917
2013-11-01,76.64595
2013-12-01,77.93166
2014-01-01,78.25802
2014-02-01,77.75019
2014-03-01,78.47263
2014-04-01,79.88146
2014-05-01,80.54542
2014-06-01,80.33726
2014-07-01,79.27631
2014-08-01,78.10059
2014-09-01,76.96404
2014-10-01,77.93209
2014-11-01,80.59663
2014-12-01,78.47153
2015-01-01,76.71237
2015-02-01,76.81364
2015-03-01,78.49151
2015-04-01,81.26109
2015-05-01,80.72936
2015-06-01,75.97134
2015-07-01,80.33866
2015-08-01,80.01957
2015-09-01,80.43616
2015-10-01,77.39415
2015-11-01,79.26190
2015-12-01,78.64060
2016-01-01,74.41288
2016-02-01,76.12295
2016-03-01,77.76830
2016-04-01,77.99756
2016-05-01,78.04570
2016-06-01,77.33643
2016-07-01,77.71005
2016-08-01,76.38269
2016-09-01,76.25725
2016-10-01,73.08836
2016-11-01,72.75563
2016-12-01,78.30419
2017-01-01,75.84672
2017-02-01,76.88651
2017-03-01,75.49557
2017-04-01,79.62493
2017-05-01,79.26710
2017-06-01,79.98047
2017-07-01,81.18170
2017-08-01,80.46011
2017-09-01,78.79511
2017-10-01,81.13592
2017-11-01,81.13137
2017-12-01,80.55284
2018-01-01,80.01275
2018-02-01,79.97457
2018-03-01,79.95337
2018-04-01,78.72135
2018-05-01,78.06138
2018-06-01,77.30735
2018-07-01,74.44685
2018-08-01,73.67274
2018-09-01,69.44471
2018-10-01,67.88612
2018-11-01,67.82342
2018-12-01,67.64359
2019-01-01,65.69181
2019-02-01,66.96488
2019-03-01,67.37320
2019-04-01,69.96139
2019-05-01,70.39605
2019-06-01,69.37392
2019-07-01,68.55704
2019-08-01,66.81032
2019-09-01,68.03791
2019-10-01,66.65872
2019-11-01,68.01749
2019-12-01,69.54788
2020-01-01,68.48846
2020-02-01,69.91932
2020-03-01,69.89827
2020-04-01,51.34886
2020-05-01,56.45897
2020-06-01,60.06566
2020-07-01,64.08715
2020-08-01,66.33577
2020-09-01,69.76455
2020-10-01,70.60282
2020-11-01,71.39085
2020-12-01,72.45114
2021-01-01,72.27594
2021-02-01,73.33497
2021-03-01,73.46675
2021-04-01,73.89804
2021-05-01,75.01648
2021-06-01,75.43893
2021-07-01,74.46877
2021-08-01,74.13030
2021-09-01,76.10446
2021-10-01,74.47060
2021-11-01,76.67547
2021-12-01,75.42259
2022-01-01,75.29062
2022-02-01,75.27463
2022-03-01,76.51505
2022-04-01,76.09150
2022-05-01,76.30033
2022-06-01,77.51087
2022-07-01,74.24377
2022-08-01,72.34407
2022-09-01,74.10039
2022-10-01,74.68425
2022-11-01,73.96338
2022-12-01,74.96782
2023-01-01,75.01230
2023-02-01,75.63536
2023-03-01,75.72722
2023-04-01,76.45220
2023-05-01,76.25279
2023-06-01,76.92708
2023-07-01,76.93446
2023-08-01,72.62443
2023-09-01,74.39286
2023-10-01,73.75527
2023-11-01,74.59394
2023-12-01,74.17198
2024-01-01,73.63711
2024-02-01,73.76493
2024-03-01,74.20989
2024-04-01,75.94897
2024-05-01,78.02635
2024-06-01,79.01597
2024-07-01,76.52222
2024-08-01,76.52221
2024-09-01,76.02292
2024-10-01,73.65652
2024-11-01,72.67521
2024-12-01,73.60135
2025-01-01,72.20853
2025-02-01,71.94613
2025-03-01,71.13691
2025-04-01,71.91400
2025-05-01,71.51949
2025-06-01,68.57464
2025-07-01,65.68330
2025-08-01,66.35656
2025-09-01,63.48680
2025-10-01,63.90427
2025-11-01,64.71207
2025-12-01,64.54435
2026-01-01,63.67250
2026-02-01,64.80399
2026-03-01,65.59038
2026-04-01,65.27503
2026-05-01,69.53038
2026-06-01,67.08002
2026-07-01,68.47939
2026-08-01,67.01532
