date,value
2011-09-01,70.19000
2011-10-01,72.20000
2011-11-01,75.66000
2011-12-01,73.72000
2012-01-01,73.74000
2012-02-01,76.63000
2012-03-01,75.06000
2012-04-01,70.50000
2012-05-01,71.31000
2012-06-01,73.50000
2012-07-01,73.69000
2012-08-01,72.70000
2012-09-01,72.77000
2012-10-01,72.55000
2012-11-01,70.97000
2012-12-01,70.95000
2013-01-01,70.61000
2013-02-01,70.06000
2013-03-01,70.69000
2013-04-01,70.61000
2013-05-01,72.07000
2013-06-01,72.71000
2013-07-01,71.42000
2013-08-01,70.28000
2013-09-01,71.84000
2013-10-01,72.90000
2013-11-01,72.62000
2013-12-01,74.24000
2014-01-01,73.16000
2014-02-01,74.05000
2014-03-01,74.10000
2014-04-01,76.31000
2014-05-01,75.08000
2014-06-01,75.51000
2014-07-01,75.48000
2014-08-01,75.12000
2014-09-01,76.31000
2014-10-01,74.67000
2014-11-01,75.66000
2014-12-01,73.21000
2015-01-01,74.63000
2015-02-01,75.32000
2015-03-01,76.50000
2015-04-01,77.33000
2015-05-01,78.58000
2015-06-01,75.16000
2015-07-01,77.27000
2015-08-01,78.09000
2015-09-01,79.87000
2015-10-01,78.26000
2015-11-01,78.27000
2015-12-01,81.54000
2016-01-01,81.01000
2016-02-01,80.04000
2016-03-01,78.50000
2016-04-01,80.17000
2016-05-01,81.58000
2016-06-01,83.41000
2016-07-01,79.94000
2016-08-01,81.81000
2016-09-01,80.44000
2016-10-01,83.81000
2016-11-01,85.53000
2016-12-01,85.21000
2017-01-01,86.41000
2017-02-01,86.83000
2017-03-01,86.51000
2017-04-01,87.25000
2017-05-01,86.84000
2017-06-01,87.28000
2017-07-01,88.81000
2017-08-01,88.02000
2017-09-01,89.96000
2017-10-01,89.44000
2017-11-01,89.02000
2017-12-01,89.12000
2018-01-01,89.90000
2018-02-01,87.94000
2018-03-01,88.74000
2018-04-01,89.44000
2018-05-01,89.05000
2018-06-01,90.50000
2018-07-01,91.60000
2018-08-01,91.43000
2018-09-01,88.93000
2018-10-01,88.85000
2018-11-01,88.57000
2018-12-01,88.37000
2019-01-01,90.40000
2019-02-01,92.72000
2019-03-01,91.99000
2019-04-01,93.41000
2019-05-01,95.19000
2019-06-01,93.75000
2019-07-01,94.42000
2019-08-01,95.39000
2019-09-01,95.34000
2019-10-01,94.83000
2019-11-01,94.29000
2019-12-01,93.25000
2020-01-01,95.18000
2020-02-01,95.99000
2020-03-01,91.36000
2020-04-01,79.39000
2020-05-01,82.01000
2020-06-01,85.69000
2020-07-01,92.83000
2020-08-01,94.08000
2020-09-01,97.78000
2020-10-01,96.14000
2020-11-01,96.91000
2020-12-01,95.61000
2021-01-01,93.71000
2021-02-01,93.69000
2021-03-01,99.56000
2021-04-01,101.84000
2021-05-01,100.19000
2021-06-01,100.00000
2021-07-01,101.40000
2021-08-01,101.83000
2021-09-01,100.43000
2021-10-01,101.98000
2021-11-01,102.43000
2021-12-01,102.93000
2022-01-01,100.32000
2022-02-01,101.28000
2022-03-01,106.17000
2022-04-01,104.05000
2022-05-01,104.76000
2022-06-01,101.41000
2022-07-01,98.30000
2022-08-01,99.32000
2022-09-01,98.45000
2022-10-01,98.88000
2022-11-01,96.27000
2022-12-01,96.07000
2023-01-01,94.93000
2023-02-01,91.14000
2023-03-01,93.56000
2023-04-01,94.13000
2023-05-01,95.29000
2023-06-01,95.64000
2023-07-01,98.35000
2023-08-01,101.61000
2023-09-01,99.04000
2023-10-01,100.97000
2023-11-01,99.25000
2023-12-01,97.74000
2024-01-01,103.66000
2024-02-01,103.50000
2024-03-01,101.84000
2024-04-01,101.64000
2024-05-01,102.75000
2024-06-01,110.05000
2024-07-01,109.46000
2024-08-01,105.54000
2024-09-01,98.54000
2024-10-01,102.76000
2024-11-01,108.59000
2024-12-01,108.61000
2025-01-01,109.32000
2025-02-01,111.01000
2025-03-01,109.66000
2025-04-01,111.36000
2025-05-01,111.81000
2025-06-01,110.25000
2025-07-01,113.06000
2025-08-01,111.23000
2025-09-01,109.74000
2025-10-01,108.41000
2025-11-01,107.58000
2025-12-01,112.39000
2026-01-01,114.72000
2026-02-01,110.69000
2026-03-01,116.95000
2026-04-01,113.14000
2026-05-01,112.01000
2026-06-01,112.68000
2026-07-01,111.03000
