date,value
2002-01-01,27107.00000
2002-04-01,27248.00000
2002-07-01,30610.00000
2002-10-01,32251.00000
2003-01-01,33841.00000
2003-04-01,33243.00000
2003-07-01,36607.00000
2003-10-01,37196.00000
2004-01-01,34844.00000
2004-04-01,37383.00000
2004-07-01,38455.00000
2004-10-01,37950.00000
2005-01-01,39886.00000
2005-04-01,42044.00000
2005-07-01,43714.00000
2005-10-01,44845.00000
2006-01-01,44243.00000
2006-04-01,45237.00000
2006-07-01,46324.00000
2006-10-01,47254.00000
2007-01-01,46056.00000
2007-04-01,47605.00000
2007-07-01,49339.00000
2007-10-01,49415.00000
2008-01-01,50349.00000
2008-04-01,51201.00000
2008-07-01,51275.00000
2008-10-01,50373.00000
2009-01-01,48245.00000
2009-04-01,49437.00000
2009-07-01,50763.00000
2009-10-01,49758.00000
2010-01-01,50330.00000
2010-04-01,51031.00000
2010-07-01,52997.00000
2010-10-01,54539.00000
2011-01-01,55995.00000
2011-04-01,57719.00000
2011-07-01,53090.00000
2011-10-01,53760.00000
2012-01-01,55400.00000
2012-04-01,57567.00000
2012-07-01,58911.00000
2012-10-01,58073.00000
2013-01-01,57632.00000
2013-04-01,59171.00000
2013-07-01,60282.00000
2013-10-01,59332.00000
2014-01-01,59000.00000
2014-04-01,59362.00000
2014-07-01,60970.00000
2014-10-01,61733.00000
2015-01-01,62869.00000
2015-04-01,64208.00000
2015-07-01,62877.00000
2015-10-01,63999.00000
2016-01-01,61385.00000
2016-04-01,57469.00000
2016-07-01,58206.00000
2016-10-01,57024.00000
2017-01-01,57800.00000
2017-04-01,59744.00000
2017-07-01,62130.00000
2017-10-01,63662.00000
2018-01-01,63128.00000
2018-04-01,64107.00000
2018-07-01,66856.00000
2018-10-01,70490.00000
2019-01-01,71576.00000
2019-04-01,74455.00000
2019-07-01,76939.00000
2019-10-01,82712.00000
2020-01-01,95193.00000
2020-04-01,113952.00000
2020-07-01,143194.00000
2020-10-01,185210.00000
2021-01-01,219238.00000
2021-04-01,237747.00000
2021-07-01,247595.00000
2021-10-01,264779.00000
2022-01-01,277910.00000
2022-04-01,292268.00000
2022-07-01,300065.00000
2022-10-01,327307.00000
2023-01-01,355064.00000
2023-04-01,378576.00000
2023-07-01,424846.00000
2023-10-01,471479.00000
2024-01-01,469186.00000
2024-04-01,488078.00000
2024-07-01,456957.00000
2024-10-01,586955.00000
2025-01-01,549403.00000
2025-02-01,551708.00000
2025-03-01,559314.00000
2025-04-01,562936.00000
2025-05-01,571462.00000
2025-06-01,574460.00000
2025-07-01,579848.00000
2025-08-01,585635.00000
2025-09-01,591819.00000
2025-10-01,598144.00000
2025-11-01,603814.00000
2025-12-01,608919.00000
2026-01-01,616838.00000
2026-02-01,611728.00000
2026-03-01,613951.00000
2026-04-01,623032.00000
2026-05-01,630806.00000
2026-06-01,638594.00000
2026-07-01,646804.00000
2026-08-01,652377.00000
