date,value
2021-03-01,4.91010
2021-04-01,3.46560
2021-05-01,2.58506
2021-06-01,2.65519
2021-07-01,2.82111
2021-08-01,5.28164
2021-09-01,3.96241
2021-10-01,3.25186
2021-11-01,3.77454
2021-12-01,24.82043
2022-01-01,6.24375
2022-02-01,5.97690
2022-03-01,5.37362
2022-04-01,5.23014
2022-05-01,4.04265
2022-06-01,4.76450
2022-07-01,5.08195
2022-08-01,12.02985
2022-09-01,8.95325
2022-10-01,8.31829
2022-11-01,8.96754
2022-12-01,73.46318
2023-01-01,9.68862
2023-02-01,14.63422
2023-03-01,11.14562
2023-04-01,17.25647
2023-05-01,10.19479
2023-06-01,9.10083
2023-07-01,20.16516
2023-08-01,46.83173
2023-09-01,39.08434
2023-10-01,23.41079
2023-11-01,25.21566
2023-12-01,137.21455
2024-01-01,32.48067
2024-02-01,47.00024
2024-03-01,26.73247
2024-04-01,28.27477
2024-05-01,40.11333
2024-06-01,24.18639
2024-07-01,39.94833
2024-08-01,43.13062
2024-09-01,28.96869
2024-10-01,41.37550
2024-11-01,77.08843
2024-12-01,108.85326
2025-01-01,44.50636
2025-02-01,48.72783
2025-03-01,43.57686
2025-04-01,40.03553
2025-05-01,55.19365
2025-06-01,37.92097
2025-07-01,65.21129
2025-08-01,62.28180
2025-09-01,45.27830
2025-10-01,66.91552
2025-11-01,84.87939
2025-12-01,121.92658
2026-01-01,156.64991
2026-02-01,102.23615
2026-03-01,69.41162
2026-04-01,60.51505
2026-05-01,58.50864
2026-06-01,61.58111
2026-07-01,83.11119
2026-08-01,70.90573
