date,value
2021-01-04,1246.00000
2021-01-05,1236.00000
2021-01-06,1236.00000
2021-01-07,1386.00000
2021-01-08,1408.00000
2021-01-11,1808.00000
2021-01-12,2138.00000
2021-01-13,2338.00000
2021-01-14,2588.00000
2021-01-15,2478.00000
2021-01-18,2478.00000
2021-01-19,1862.00000
2021-01-20,1962.00000
2021-01-21,1837.00000
2021-01-22,1737.00000
2021-01-25,2037.00000
2021-01-26,1847.00000
2021-01-27,1924.00000
2021-01-28,1984.00000
2021-01-29,1854.00000
2021-02-01,1979.00000
2021-02-02,2199.00000
2021-02-03,2072.00000
2021-02-04,1807.00000
2021-02-05,1722.00000
2021-02-08,1457.00000
2021-02-09,1262.00000
2021-02-10,1162.00000
2021-02-11,1142.00000
2021-02-12,707.00000
2021-02-15,707.00000
2021-02-16,672.00000
2021-02-17,622.00000
2021-02-18,372.00000
2021-02-19,272.00000
2021-02-22,372.00000
2021-02-23,242.00000
2021-02-24,217.00000
2021-02-25,572.00000
2021-02-26,772.00000
2021-03-01,772.00000
2021-03-02,842.00000
2021-03-03,942.00000
2021-03-04,737.00000
2021-03-05,1187.00000
2021-03-08,1323.00000
2021-03-09,1223.00000
2021-03-10,1148.00000
2021-03-11,1373.00000
2021-03-12,1048.00000
2021-03-15,938.00000
2021-03-16,965.00000
2021-03-17,1193.00000
2021-03-18,2481.00000
2021-03-19,2816.00000
2021-03-22,2691.00000
2021-03-23,2670.00000
2021-03-24,2347.00000
2021-03-25,1299.00000
2021-03-26,1004.00000
2021-03-29,1169.00000
2021-03-30,1151.00000
2021-03-31,1151.00000
2021-04-01,1706.00000
2021-04-02,1956.00000
2021-04-05,2156.00000
2021-04-06,2516.00000
2021-04-07,3316.00000
2021-04-08,3426.00000
2021-04-09,3211.00000
2021-04-12,3361.00000
2021-04-13,3486.00000
2021-04-14,3361.00000
2021-04-15,3196.00000
2021-04-16,2921.00000
2021-04-19,3071.00000
2021-04-20,3406.00000
2021-04-21,3434.00000
2021-04-22,3539.00000
2021-04-26,3504.00000
2021-04-27,3789.00000
2021-04-28,3566.00000
2021-04-29,3616.00000
2021-04-30,3531.00000
2021-05-03,3333.00000
2021-05-04,2938.00000
2021-05-05,2703.00000
2021-05-06,2478.00000
2021-05-07,2888.00000
2021-05-10,3126.00000
2021-05-11,2946.00000
2021-05-12,2946.00000
2021-05-17,3016.00000
2021-05-18,3001.00000
2021-05-20,2611.00000
2021-05-21,2511.00000
2021-05-24,2401.00000
2021-05-25,2301.00000
2021-05-26,2881.00000
2021-05-27,2761.00000
2021-05-28,2851.00000
2021-05-31,2851.00000
2021-06-01,2736.00000
2021-06-02,2911.00000
2021-06-03,2992.00000
2021-06-04,3152.00000
2021-06-07,3423.00000
2021-06-08,3523.00000
2021-06-09,3698.00000
2021-06-10,3808.00000
2021-06-11,4258.00000
2021-06-14,3858.00000
2021-06-15,3958.00000
2021-06-16,3808.00000
2021-06-17,3883.00000
2021-06-18,3554.00000
2021-06-21,3579.00000
2021-06-22,3279.00000
2021-06-23,3204.00000
2021-06-24,3053.00000
2021-06-25,3057.00000
2021-06-28,3025.00000
2021-06-29,3375.00000
2021-06-30,3270.00000
2021-07-01,3070.00000
2021-07-02,2985.00000
2021-07-05,2985.00000
2021-07-06,3235.00000
2021-07-07,3315.00000
2021-07-08,3625.00000
2021-07-09,3505.00000
2021-07-12,3247.00000
2021-07-13,3422.00000
2021-07-14,3592.00000
2021-07-16,3747.00000
2021-07-19,3747.00000
2021-07-26,4122.00000
2021-07-27,4167.00000
2021-07-28,4242.00000
2021-07-29,4307.00000
2021-07-30,3557.00000
2021-08-02,3637.00000
2021-08-03,3687.00000
2021-08-04,3534.00000
2021-08-05,3834.00000
2021-08-06,3889.00000
2021-08-09,3789.00000
2021-08-10,3913.00000
2021-08-11,3910.00000
2021-08-12,4020.00000
2021-08-13,3910.00000
2021-08-16,4031.00000
2021-08-17,4002.00000
2021-08-18,4382.00000
2021-08-19,4339.00000
2021-08-20,4339.00000
2021-08-23,4145.00000
2021-08-24,4125.00000
2021-08-25,3945.00000
2021-08-26,4223.00000
2021-08-27,4273.00000
2021-08-31,4532.00000
2021-09-01,4360.00000
2021-09-02,4220.00000
2021-09-03,4190.00000
2021-09-06,4190.00000
2021-09-07,3982.00000
2021-09-08,4008.00000
2021-09-09,3748.00000
2021-09-10,4313.00000
2021-09-13,4688.00000
2021-09-14,4403.00000
2021-09-15,4844.00000
2021-09-16,5039.00000
2021-09-17,4991.00000
2021-09-20,4906.00000
2021-09-21,4511.00000
2021-09-22,4147.00000
2021-09-23,3642.00000
2021-09-24,4915.00000
2021-09-27,4962.00000
2021-09-28,4459.00000
2021-09-29,4209.00000
2021-09-30,4631.00000
2021-10-01,2691.00000
2021-10-04,2576.00000
2021-10-05,2581.00000
2021-10-06,2781.00000
2021-10-07,2869.00000
2021-10-08,2909.00000
2021-10-11,2909.00000
2021-10-12,3049.00000
2021-10-13,3174.00000
2021-10-14,2889.00000
2021-10-15,2909.00000
2021-10-18,3779.00000
2021-10-19,3844.00000
2021-10-20,3769.00000
2021-10-21,3544.00000
2021-10-22,4894.00000
2021-10-25,4642.00000
2021-10-26,4395.00000
2021-10-27,4382.00000
2021-10-28,4382.00000
2021-11-01,4382.00000
2021-11-02,4137.00000
2021-11-03,3595.00000
2021-11-04,3745.00000
2021-11-05,2744.00000
2021-11-08,2899.00000
2021-11-09,3624.00000
2021-11-10,4284.00000
2021-11-11,4284.00000
2021-11-12,4364.00000
2021-11-15,4714.00000
2021-11-16,4939.00000
2021-11-17,4359.00000
2021-11-18,4209.00000
2021-11-19,5399.00000
2021-11-22,5929.00000
2021-11-23,6349.00000
2021-11-24,6444.00000
2021-11-25,6444.00000
2021-11-26,5033.00000
2021-11-29,4398.00000
2021-11-30,4198.00000
2021-12-01,4192.00000
2021-12-02,4616.00000
2021-12-03,4433.00000
2021-12-06,3953.00000
2021-12-07,3383.00000
2021-12-08,3352.00000
2021-12-09,3497.00000
2021-12-10,3230.00000
2021-12-13,3300.00000
2021-12-14,3820.00000
2021-12-15,4022.00000
2021-12-16,4209.00000
2021-12-17,5203.00000
2021-12-20,5798.00000
2021-12-21,5633.00000
2021-12-22,6638.00000
2021-12-23,7817.00000
2021-12-24,7906.00000
2021-12-27,7888.00000
2021-12-28,7888.00000
2021-12-29,6893.00000
2021-12-30,6950.00000
2021-12-31,6607.00000
2022-01-03,6320.00000
2022-01-04,6465.00000
2022-01-05,6220.00000
2022-01-06,5880.00000
2022-01-07,5836.00000
2022-01-10,5581.00000
2022-01-11,5461.00000
2022-01-12,6111.00000
2022-01-13,5891.00000
2022-01-14,5209.00000
2022-01-17,5209.00000
2022-01-18,4781.00000
2022-01-19,5040.00000
2022-01-20,5442.00000
2022-01-21,5145.00000
2022-01-24,4638.00000
2022-01-25,4772.00000
2022-01-26,5384.00000
2022-01-27,5329.00000
2022-01-28,5528.00000
2022-01-31,5521.00000
2022-02-01,4870.00000
2022-02-02,4708.00000
2022-02-03,4156.00000
2022-02-04,4383.00000
2022-02-07,4140.00000
2022-02-08,3962.00000
2022-02-09,2854.00000
2022-02-10,2092.00000
2022-02-11,1586.00000
2022-02-14,1485.00000
2022-02-15,1386.00000
2022-02-16,1237.00000
2022-02-17,972.00000
2022-02-18,770.00000
2022-02-21,770.00000
2022-02-22,769.00000
2022-02-23,219.00000
2022-02-24,29.00000
2022-02-25,30.00000
2022-02-28,250.00000
2022-03-01,420.00000
2022-03-02,420.00000
2022-03-03,417.00000
2022-03-04,413.00000
2022-03-07,212.00000
2022-03-08,79.00000
2022-03-09,79.00000
2022-03-10,72.00000
2022-03-11,72.00000
2022-03-14,142.00000
2022-03-15,305.00000
2022-03-16,336.00000
2022-03-17,481.00000
2022-03-18,501.00000
2022-03-21,501.00000
2022-03-22,301.00000
2022-03-23,284.00000
2022-03-24,139.00000
2022-03-25,239.00000
2022-03-28,149.00000
2022-03-29,152.00000
2022-03-30,137.00000
2022-03-31,227.00000
2022-04-01,130.00000
2022-04-04,133.00000
2022-04-05,123.00000
2022-04-06,123.00000
2022-04-07,63.00000
2022-04-08,40.00000
2022-04-11,41.00000
2022-04-12,41.00000
2022-04-13,49.00000
2022-04-14,19.00000
2022-04-15,39.00000
2022-04-18,36.00000
2022-04-19,36.00000
2022-04-20,35.00000
2022-04-21,35.00000
2022-04-22,395.00000
2022-04-25,388.00000
2022-04-26,388.00000
2022-04-27,387.00000
2022-04-28,428.00000
2022-04-29,103.00000
2022-05-05,62.00000
2022-05-06,7.00000
2022-05-09,7.00000
2022-05-10,7.00000
2022-05-11,18.00000
2022-05-12,18.00000
2022-05-13,163.00000
2022-05-16,183.00000
2022-05-17,226.00000
2022-05-18,213.00000
2022-05-20,104.00000
2022-05-23,109.00000
2022-05-24,96.00000
2022-05-25,98.00000
2022-05-26,128.00000
2022-05-27,172.00000
2022-05-30,172.00000
2022-05-31,286.00000
2022-06-01,354.00000
2022-06-02,424.00000
2022-06-03,594.00000
2022-06-06,614.00000
2022-06-07,540.00000
2022-06-08,555.00000
2022-06-09,565.00000
2022-06-10,415.00000
2022-06-13,415.00000
2022-06-14,375.00000
2022-06-15,350.00000
2022-06-16,390.00000
2022-06-17,420.00000
2022-06-20,420.00000
2022-06-21,620.00000
2022-06-22,600.00000
2022-06-23,480.00000
2022-06-24,630.00000
2022-06-27,715.00000
2022-06-28,865.00000
2022-06-29,1250.00000
2022-06-30,1301.00000
2022-07-01,1601.00000
2022-07-04,1601.00000
2022-07-05,1251.00000
2022-07-06,851.00000
2022-07-07,1000.00000
2022-07-08,1260.00000
2022-07-13,1130.00000
2022-07-14,950.00000
2022-07-18,250.00000
2022-07-19,310.00000
2022-07-20,330.00000
2022-07-21,330.00000
2022-07-22,660.00000
2022-07-25,550.00000
2022-07-26,498.00000
2022-07-27,488.00000
2022-07-28,488.00000
2022-07-29,240.00000
2022-08-01,240.00000
2022-08-02,243.00000
2022-08-03,243.00000
2022-08-04,223.00000
2022-08-05,181.00000
2022-08-08,181.00000
2022-08-09,200.00000
2022-08-10,200.00000
2022-08-11,170.00000
2022-08-12,130.00000
2022-08-15,100.00000
2022-08-16,75.00000
2022-08-17,100.00000
2022-08-18,130.00000
2022-08-19,164.00000
2022-08-22,174.00000
2022-08-23,154.00000
2022-08-24,129.00000
2022-08-25,129.00000
2022-08-26,107.00000
2022-08-29,97.00000
2022-08-31,83.00000
2022-09-01,83.00000
2022-09-02,148.00000
2022-09-05,148.00000
2022-09-06,188.00000
2022-09-07,206.00000
2022-09-08,206.00000
2022-09-09,196.00000
2022-09-12,236.00000
2022-09-13,226.00000
2022-09-14,252.00000
2022-09-15,282.00000
2022-09-16,292.00000
2022-09-19,307.00000
2022-09-20,302.00000
2022-09-21,307.00000
2022-09-22,248.00000
2022-09-23,258.00000
2022-09-26,228.00000
2022-09-27,258.00000
2022-09-28,253.00000
2022-09-29,253.00000
2022-09-30,253.00000
2022-10-03,238.00000
2022-10-04,208.00000
2022-10-05,183.00000
2022-10-06,192.00000
2022-10-07,157.00000
2022-10-10,157.00000
2022-10-11,127.00000
2022-10-12,137.00000
2022-10-13,137.00000
2022-10-14,145.00000
2022-10-17,135.00000
2022-10-18,145.00000
2022-10-19,107.00000
2022-10-20,127.00000
2022-10-21,140.00000
2022-10-24,140.00000
2022-10-25,185.00000
2022-10-26,228.00000
2022-10-27,253.00000
2022-10-28,233.00000
2022-10-31,236.00000
2022-11-01,191.00000
2022-11-02,191.00000
2022-11-03,183.00000
2022-11-04,168.00000
2022-11-07,180.00000
2022-11-08,161.00000
2022-11-09,181.00000
2022-11-10,161.00000
2022-11-11,161.00000
2022-11-14,176.00000
2022-11-15,210.00000
2022-11-16,213.00000
2022-11-17,211.00000
2022-11-18,761.00000
2022-11-21,1261.00000
2022-11-22,1471.00000
2022-11-23,1688.00000
2022-11-24,1688.00000
2022-11-25,1243.00000
2022-11-28,819.00000
2022-11-29,574.00000
2022-11-30,289.00000
2022-12-01,264.00000
2022-12-02,169.00000
2022-12-05,69.00000
2022-12-06,69.00000
2022-12-07,64.00000
2022-12-08,64.00000
2022-12-09,61.00000
2022-12-12,56.00000
2022-12-13,56.00000
2022-12-14,61.00000
2022-12-15,81.00000
2022-12-16,81.00000
2022-12-19,86.00000
2022-12-20,86.00000
2022-12-21,84.00000
2022-12-22,89.00000
2022-12-23,87.00000
2022-12-26,87.00000
2022-12-27,92.00000
2022-12-28,96.00000
2022-12-29,91.00000
2022-12-30,251.00000
2023-01-02,251.00000
2023-01-03,241.00000
2023-01-04,234.00000
2023-01-05,224.00000
2023-01-06,144.00000
2023-01-09,169.00000
2023-01-10,194.00000
2023-01-11,219.00000
2023-01-12,229.00000
2023-01-13,174.00000
2023-01-16,174.00000
2023-01-17,171.00000
2023-01-18,166.00000
2023-01-19,146.00000
2023-01-20,146.00000
2023-01-23,149.00000
2023-01-24,159.00000
2023-01-25,159.00000
2023-01-26,174.00000
2023-01-27,194.00000
2023-01-30,211.00000
2023-01-31,236.00000
2023-02-01,241.00000
2023-02-02,251.00000
2023-02-03,259.00000
2023-02-06,234.00000
2023-02-07,204.00000
2023-02-08,169.00000
2023-02-09,164.00000
2023-02-10,167.00000
2023-02-13,172.00000
2023-02-14,172.00000
2023-02-15,212.00000
2023-02-16,212.00000
2023-02-17,321.00000
2023-02-20,321.00000
2023-02-21,569.00000
2023-02-22,539.00000
2023-02-23,534.00000
2023-02-24,514.00000
2023-02-27,539.00000
2023-02-28,304.00000
2023-03-01,304.00000
2023-03-02,299.00000
2023-03-03,181.00000
2023-03-06,136.00000
2023-03-07,116.00000
2023-03-08,226.00000
2023-03-09,246.00000
2023-03-10,226.00000
2023-03-13,236.00000
2023-03-14,236.00000
2023-03-15,126.00000
2023-03-16,146.00000
2023-03-17,146.00000
2023-03-20,136.00000
2023-03-21,131.00000
2023-03-22,153.00000
2023-03-23,133.00000
2023-03-24,138.00000
2023-03-27,583.00000
2023-03-28,668.00000
2023-03-29,1546.00000
2023-03-30,1806.00000
2023-03-31,2301.00000
2023-04-03,1971.00000
2023-04-04,2311.00000
2023-04-05,1984.00000
2023-04-06,2394.00000
2023-04-07,1954.00000
2023-04-10,2304.00000
2023-04-11,1894.00000
2023-04-12,2121.00000
2023-04-13,3606.00000
2023-04-14,3689.00000
2023-04-17,3249.00000
2023-04-18,3269.00000
2023-04-19,2514.00000
2023-04-20,2589.00000
2023-04-24,3389.00000
2023-04-25,3819.00000
2023-04-26,4219.00000
2023-04-27,5689.00000
2023-04-28,6171.00000
2023-05-02,5916.00000
2023-05-03,6088.00000
2023-05-04,5348.00000
2023-05-05,8248.00000
2023-05-08,8148.00000
2023-05-09,8328.00000
2023-05-10,8036.00000
2023-05-11,8931.00000
2023-05-12,8381.00000
2023-05-15,8686.00000
2023-05-16,9256.00000
2023-05-17,9366.00000
2023-05-18,9076.00000
2023-05-22,7956.00000
2023-05-23,7796.00000
2023-05-24,7651.00000
2023-05-25,6151.00000
2023-05-26,7457.00000
2023-05-29,7457.00000
2023-05-30,6671.00000
2023-05-31,6521.00000
2023-06-01,6556.00000
2023-06-02,5800.00000
2023-06-05,5805.00000
2023-06-06,5208.00000
2023-06-07,5978.00000
2023-06-08,5787.00000
2023-06-09,5787.00000
2023-06-12,5778.00000
2023-06-13,5660.00000
2023-06-14,5800.00000
