date,value
2014-01-01,11.68814
2014-04-01,12.55072
2014-07-01,13.67647
2014-10-01,14.83045
2015-01-01,15.63240
2015-04-01,16.31483
2015-07-01,17.25026
2015-10-01,18.32395
2016-01-01,19.92187
2016-04-01,20.97532
2016-07-01,21.93732
2016-10-01,23.15220
2017-01-01,24.42722
2017-04-01,25.52794
2017-07-01,26.68159
2017-10-01,28.19776
2018-01-01,29.39716
2018-04-01,30.53213
2018-07-01,31.86533
2018-10-01,33.29362
2019-01-01,33.08883
2019-04-01,34.16629
2019-07-01,35.56046
2019-10-01,37.08004
2020-01-01,38.23403
2020-04-01,39.36692
2020-07-01,41.11285
2020-10-01,46.32435
2021-01-01,53.84106
2021-04-01,58.46979
2021-07-01,62.34700
2021-10-01,66.90180
2022-01-01,71.24197
2022-04-01,73.47486
2022-07-01,75.57888
2022-10-01,77.68790
2023-01-01,79.81496
2023-04-01,81.89540
2023-07-01,83.34436
2023-10-01,84.68978
2024-01-01,85.72556
2024-04-01,86.76867
2024-07-01,87.87205
2024-10-01,89.21786
2025-01-01,90.05901
2025-04-01,91.13195
2025-07-01,91.98010
2025-10-01,92.90987
2026-01-01,93.59481
2026-04-01,94.07181
