date,value
2011-09-01,677.00000
2011-10-01,773.00000
2011-11-01,762.00000
2011-12-01,777.00000
2012-01-01,742.00000
2012-02-01,762.00000
2012-03-01,722.00000
2012-04-01,747.00000
2012-05-01,743.00000
2012-06-01,751.00000
2012-07-01,924.00000
2012-08-01,922.00000
2012-09-01,928.00000
2012-10-01,951.00000
2012-11-01,935.00000
2012-12-01,963.00000
2013-01-01,887.00000
2013-02-01,887.00000
2013-03-01,868.00000
2013-04-01,809.00000
2013-05-01,829.00000
2013-06-01,845.00000
2013-07-01,941.00000
2013-08-01,929.00000
2013-09-01,945.00000
2013-10-01,898.00000
2013-11-01,897.00000
2013-12-01,914.00000
2014-01-01,866.00000
2014-02-01,863.00000
2014-03-01,856.00000
2014-04-01,797.00000
2014-05-01,810.00000
2014-06-01,825.00000
2014-07-01,933.00000
2014-08-01,940.00000
2014-09-01,947.00000
2014-10-01,861.00000
2014-11-01,882.00000
2014-12-01,884.00000
2015-01-01,854.00000
2015-02-01,843.00000
2015-03-01,820.00000
2015-04-01,691.00000
2015-05-01,702.00000
2015-06-01,706.00000
2015-07-01,851.00000
2015-08-01,864.00000
2015-09-01,858.00000
2015-10-01,767.00000
2015-11-01,755.00000
2015-12-01,770.00000
2016-01-01,798.00000
2016-02-01,753.00000
2016-03-01,703.00000
2016-04-01,652.00000
2016-05-01,662.00000
2016-06-01,658.00000
2016-07-01,849.00000
2016-08-01,850.00000
2016-09-01,851.00000
2016-10-01,707.00000
2016-11-01,718.00000
2016-12-01,724.00000
2017-01-01,690.00000
2017-02-01,664.00000
2017-03-01,624.00000
2017-04-01,581.00000
2017-05-01,601.00000
2017-06-01,608.00000
2017-07-01,822.00000
2017-08-01,816.00000
2017-09-01,811.00000
2017-10-01,747.00000
2017-11-01,718.00000
2017-12-01,709.00000
2018-01-01,690.00000
2018-02-01,673.00000
2018-03-01,662.00000
2018-04-01,636.00000
2018-05-01,643.00000
2018-06-01,647.00000
2018-07-01,770.00000
2018-08-01,764.00000
2018-09-01,767.00000
2018-10-01,672.00000
2018-11-01,663.00000
2018-12-01,648.00000
2019-01-01,677.00000
2019-02-01,661.00000
2019-03-01,640.00000
2019-04-01,646.00000
2019-05-01,660.00000
2019-06-01,671.00000
2019-07-01,819.00000
2019-08-01,814.00000
2019-09-01,818.00000
2019-10-01,796.00000
2019-11-01,745.00000
2019-12-01,716.00000
2020-01-01,808.00000
2020-02-01,813.00000
2020-03-01,834.00000
2020-07-01,859.00000
2020-08-01,903.00000
2020-09-01,900.00000
2020-10-01,858.00000
2020-11-01,828.00000
2020-12-01,825.00000
2021-01-01,1047.00000
2021-02-01,1034.00000
2021-03-01,1051.00000
2021-04-01,847.00000
2021-05-01,848.00000
2021-06-01,843.00000
2021-07-01,1028.00000
2021-08-01,1028.00000
2021-09-01,1025.00000
2021-10-01,906.00000
2021-11-01,867.00000
2021-12-01,847.00000
2022-01-01,924.00000
2022-02-01,918.00000
2022-03-01,946.00000
2022-04-01,822.00000
2022-05-01,829.00000
2022-06-01,844.00000
2022-07-01,919.00000
2022-08-01,911.00000
2022-09-01,909.00000
2022-10-01,891.00000
2022-11-01,894.00000
2022-12-01,899.00000
2023-01-01,937.00000
2023-02-01,955.00000
2023-03-01,887.00000
2023-04-01,853.00000
2023-05-01,853.00000
2023-06-01,860.00000
2023-07-01,888.00000
2023-08-01,886.00000
2023-09-01,886.00000
2023-10-01,854.00000
2023-11-01,846.00000
2023-12-01,857.00000
2024-01-01,910.00000
2024-02-01,912.00000
2024-03-01,889.00000
2024-04-01,862.00000
2024-05-01,873.00000
2024-06-01,854.00000
2024-07-01,931.00000
2024-08-01,942.00000
2024-09-01,903.00000
2024-10-01,922.00000
2024-11-01,917.00000
2024-12-01,902.00000
2025-01-01,969.00000
2025-02-01,968.00000
2025-03-01,953.00000
2025-04-01,923.00000
2025-05-01,909.00000
2025-06-01,909.00000
2025-07-01,947.00000
2025-08-01,938.00000
2025-09-01,951.00000
2025-10-01,953.00000
2025-11-01,941.00000
2025-12-01,922.00000
2026-01-01,1014.00000
2026-02-01,997.00000
2026-03-01,975.00000
2026-04-01,958.00000
2026-05-01,944.00000
2026-06-01,952.00000
