date,value
2011-09-01,3308.00000
2011-10-01,2984.00000
2011-11-01,1640.00000
2011-12-01,1098.00000
2012-01-01,1020.00000
2012-02-01,921.00000
2012-03-01,1182.00000
2012-04-01,1668.00000
2012-05-01,2373.00000
2012-06-01,2928.00000
2012-07-01,4579.00000
2012-08-01,4962.00000
2012-09-01,4733.00000
2012-10-01,3650.00000
2012-11-01,2013.00000
2012-12-01,1438.00000
2013-01-01,1300.00000
2013-02-01,1255.00000
2013-03-01,1643.00000
2013-04-01,1956.00000
2013-05-01,3082.00000
2013-06-01,3489.00000
2013-07-01,4507.00000
2013-08-01,5511.00000
2013-09-01,5041.00000
2013-10-01,3858.00000
2013-11-01,2005.00000
2013-12-01,1461.00000
2014-01-01,1365.00000
2014-02-01,1314.00000
2014-03-01,1684.00000
2014-04-01,2051.00000
2014-05-01,3129.00000
2014-06-01,3739.00000
2014-07-01,4621.00000
2014-08-01,6234.00000
2014-09-01,5203.00000
2014-10-01,3698.00000
2014-11-01,1997.00000
2014-12-01,1538.00000
2015-01-01,1505.00000
2015-02-01,1320.00000
2015-03-01,1654.00000
2015-04-01,1814.00000
2015-05-01,2649.00000
2015-06-01,3072.00000
2015-07-01,4463.00000
2015-08-01,5830.00000
2015-09-01,4644.00000
2015-10-01,3191.00000
2015-11-01,1688.00000
2015-12-01,1320.00000
2016-01-01,1350.00000
2016-02-01,1143.00000
2016-03-01,1335.00000
2016-04-01,1336.00000
2016-05-01,1819.00000
2016-06-01,1774.00000
2016-07-01,2955.00000
2016-08-01,3881.00000
2016-09-01,3417.00000
2016-10-01,2256.00000
2016-11-01,1350.00000
2016-12-01,1179.00000
2017-01-01,1083.00000
2017-02-01,951.00000
2017-03-01,1151.00000
2017-04-01,1325.00000
2017-05-01,1860.00000
2017-06-01,2122.00000
2017-07-01,4139.00000
2017-08-01,5159.00000
2017-09-01,4301.00000
2017-10-01,2925.00000
2017-11-01,1648.00000
2017-12-01,1448.00000
2018-01-01,1411.00000
2018-02-01,1216.00000
2018-03-01,1503.00000
2018-04-01,1827.00000
2018-05-01,2437.00000
2018-06-01,2852.00000
2018-07-01,4400.00000
2018-08-01,5388.00000
2018-09-01,4619.00000
2018-10-01,3221.00000
2018-11-01,1776.00000
2018-12-01,1413.00000
2019-01-01,1507.00000
2019-02-01,1286.00000
2019-03-01,1584.00000
2019-04-01,2110.00000
2019-05-01,2786.00000
2019-06-01,3541.00000
2019-07-01,5490.00000
2019-08-01,6652.00000
2019-09-01,5513.00000
2019-10-01,4328.00000
2019-11-01,2239.00000
2019-12-01,1717.00000
2020-01-01,2049.00000
2020-02-01,1671.00000
2020-03-01,875.00000
2020-04-01,0.00000
2020-05-01,0.00000
2020-06-01,866.00000
2020-07-01,668.00000
2020-08-01,1980.00000
2020-09-01,2372.00000
2020-10-01,2021.00000
2020-11-01,1045.00000
2020-12-01,796.00000
2021-01-01,869.00000
2021-02-01,752.00000
2021-03-01,1096.00000
2021-04-01,999.00000
2021-05-01,869.00000
2021-06-01,1569.00000
2021-07-01,3838.00000
2021-08-01,5650.00000
2021-09-01,4516.00000
2021-10-01,3994.00000
2021-11-01,2138.00000
2021-12-01,1843.00000
2022-01-01,1995.00000
2022-02-01,1699.00000
2022-03-01,2310.00000
2022-04-01,2401.00000
2022-05-01,3383.00000
2022-06-01,4167.00000
2022-07-01,5847.00000
2022-08-01,7278.00000
2022-09-01,6046.00000
2022-10-01,5274.00000
2022-11-01,3072.00000
2022-12-01,2357.00000
2023-01-01,2884.00000
2023-02-01,2212.00000
2023-03-01,2474.00000
2023-04-01,3022.00000
2023-05-01,3912.00000
2023-06-01,5045.00000
2023-07-01,6149.00000
2023-08-01,7519.00000
2023-09-01,6214.00000
2023-10-01,5256.00000
2023-11-01,2977.00000
2023-12-01,2399.00000
2024-01-01,2955.00000
2024-02-01,2449.00000
2024-03-01,2736.00000
2024-04-01,3484.00000
2024-05-01,4876.00000
2024-06-01,5528.00000
2024-07-01,6883.00000
2024-08-01,8163.00000
2024-09-01,6453.00000
2024-10-01,6202.00000
2024-11-01,3686.00000
2024-12-01,2863.00000
2025-01-01,3251.00000
2025-02-01,2695.00000
2025-03-01,2842.00000
2025-04-01,3917.00000
2025-05-01,5109.00000
2025-06-01,5953.00000
2025-07-01,7008.00000
2025-08-01,8362.00000
2025-09-01,6962.00000
2025-10-01,6748.00000
2025-11-01,4005.00000
2025-12-01,3143.00000
2026-01-01,3582.00000
2026-02-01,2743.00000
2026-03-01,2900.00000
2026-04-01,3884.00000
2026-05-01,5129.00000
2026-06-01,5799.00000
